Site,Datetime,mean_WT,max_WT,min_WT,range_WT,Solar_daily,Solar_2d,Solar_3d,Solar_7d,WL_daily_mean,WL_daily_max,WL_daily_min,WL_daily_range,WL_mean_2day,WL_mean_3day,WL_mean_7day,WL_max_2day,WL_max_3day,WL_max_7day,WL_min_2day,WL_min_3day,WL_min_7day,Air_tmin,Air_tmean,Air_tmax,Air_trange,Air_tmean_2day,Air_tmean_3day,Air_tmean_7day,Air_tmax_2day,Air_tmax_3day,Air_tmax_7day,Air_tmin_2day,Air_tmin_3day,Air_tmin_7day,GWT_mean,GWT_max,GWT_min,GWT_range,GWT_mean_2day,GWT_mean_3day,GWT_mean_7day,GWT_max_2day,GWT_max_3day,GWT_max_7day,GWT_min_2day,GWT_min_3day,GWT_min_7day,GWL_mean,GWL_max,GWL_min,GWL_range,GWL_mean_2day,GWL_mean_3day,GWL_mean_7day,GWL_max_2day,GWL_max_3day,GWL_max_7day,GWL_min_2day,GWL_min_3day,GWL_min_7day,ppt,ppt_7day,Water_area_m2_3d,Elev_m,Size_km2
Anvil,6/1/2023,12.20938,13.269,11.041,2.228,31.26815947,32.46047974,33.43391982,32.65302857,0.669917,0.681,0.661,0.02,0.673667,0.676569,0.686131,0.686,0.687667,0.695429,0.664,0.667333,0.677571,1.5,6.8,12.1,10.6,8.2,9.833333,11.48571,14.25,16.6,18.58571,2.15,3.066667,4.414286,5.855708,5.86,5.757,0.103,5.806354,5.772903,5.582708,5.8085,5.791333,5.625429,5.757,5.723,5.537429,0.1815,0.199,0.164,0.035,0.195688,0.208806,0.25653,0.2145,0.227333,0.273429,0.1775,0.191667,0.239714,0,1.19,22355,1176.813373,0.071
Anvil,6/2/2023,12.53058,13.846,10.651,3.195,31.97664053,31.6224,32.2992,32.84927992,0.664458,0.675,0.653,0.022,0.667188,0.670597,0.681506,0.678,0.682333,0.691429,0.657,0.660333,0.672429,1.4,9,16.5,15.1,7.9,8.466667,11.02857,14.3,15,18.11429,1.45,1.9,3.942857,5.86,5.86,5.86,0,5.857854,5.824236,5.657833,5.86,5.825667,5.698714,5.8085,5.791333,5.625429,0.153708,0.173,0.136,0.037,0.167604,0.181694,0.232982,0.186,0.200667,0.250857,0.15,0.163667,0.216,0,1.19,20832,1176.813373,0.071
Anvil,6/3/2023,13.0245,14.613,10.846,3.767,31.70015947,31.8384,31.64831982,33.36027414,0.655,0.67,0.639,0.031,0.659729,0.663125,0.675512,0.6725,0.675333,0.686857,0.646,0.651,0.664714,2.5,11.1,19.7,17.2,10.05,8.966667,10.61429,18.1,16.1,17.9,1.95,1.8,3.314286,5.86,5.86,5.86,0,5.86,5.858569,5.723762,5.86,5.86,5.757286,5.86,5.825667,5.698714,0.123292,0.145,0.101,0.044,0.1385,0.152833,0.206946,0.159,0.172333,0.226286,0.1185,0.133667,0.188571,0,0,18849,1176.813373,0.071
Anvil,6/4/2023,13.73963,15.187,12.304,2.883,31.30271895,31.50143921,31.65983965,32.89741699,0.647458,0.657,0.638,0.019,0.651229,0.655639,0.669167,0.6635,0.667333,0.680429,0.6385,0.643333,0.658571,3.7,13.4,23.1,19.4,12.25,11.16667,10.84286,21.4,19.76667,18.6,3.1,2.533333,3.071429,5.94925,5.962,5.86,0.102,5.904625,5.88975,5.793262,5.911,5.894,5.815857,5.86,5.86,5.757286,0.097083,0.115,0.081,0.034,0.110188,0.124694,0.180179,0.13,0.144333,0.199571,0.091,0.106,0.162143,0,0,17035,1176.813373,0.071
Anvil,6/5/2023,14.03558,15.664,12.304,3.36,31.6656,31.48415947,31.55615947,32.42098263,0.636792,0.653,0.616,0.037,0.642125,0.646417,0.661917,0.655,0.66,0.674,0.627,0.631,0.649714,5.5,13.8,22.1,16.6,13.6,12.76667,10.97143,22.6,21.63333,18.74286,4.6,3.9,3.185714,6.04275,6.064,5.962,0.102,5.996,5.950667,5.86153,6.013,5.962,5.874286,5.911,5.894,5.815857,0.0705,0.092,0.046,0.046,0.083792,0.096958,0.153,0.1035,0.117333,0.172429,0.0635,0.076,0.134143,0,0,14874,1176.813373,0.071
Anvil,6/6/2023,14.73821,16.427,12.787,3.64,31.51008105,31.58784053,31.4928,31.86802278,0.62875,0.644,0.614,0.03,0.632771,0.637667,0.654256,0.6485,0.651333,0.667286,0.615,0.622667,0.641143,6.8,16.5,26.1,19.3,15.15,14.56667,11.45714,24.1,23.76667,19.42857,6.15,5.333333,3.457143,6.1405,6.166,6.064,0.102,6.091625,6.044167,5.923601,6.115,6.064,5.932714,6.013,5.962,5.874286,0.053167,0.073,0.03,0.043,0.061833,0.073583,0.127018,0.0825,0.093333,0.146714,0.038,0.052333,0.107,0,0,13116,1176.813373,0.071
Anvil,6/7/2023,14.70729,15.76,13.269,2.491,30.74111895,31.1256,31.3056,31.45206835,0.62075,0.636,0.603,0.033,0.62475,0.628764,0.646161,0.64,0.644333,0.659429,0.6085,0.611,0.632,11.5,19.3,27,15.5,17.9,16.53333,12.84286,26.55,25.06667,20.94286,9.15,7.933333,4.7,6.361292,6.471,6.166,0.305,6.250896,6.181514,6.009929,6.3185,6.233667,6.034714,6.115,6.064,5.932714,0.047875,0.067,0.027,0.04,0.050521,0.057181,0.103875,0.07,0.077333,0.123429,0.0285,0.034333,0.083571,0,0,11622.75,1176.813373,0.071
Anvil,6/8/2023,14.34908,15.378,13.75,1.628,19.29312026,25.0171196,27.18144009,29.74134846,0.611792,0.626,0.602,0.024,0.616271,0.620431,0.637857,0.631,0.635333,0.651571,0.6025,0.606333,0.623571,10.8,18.5,26.2,15.4,18.9,18.1,14.51429,26.6,26.43333,22.95714,11.15,9.7,6.028571,6.775417,6.978,6.471,0.507,6.568354,6.425736,6.141315,6.7245,6.538333,6.194429,6.3185,6.233667,6.034714,0.0485,0.057,0.04,0.017,0.048188,0.049847,0.084875,0.062,0.065667,0.103143,0.0335,0.032333,0.065857,0,0,10910.25,1176.813373,0.071
Anvil,6/9/2023,13.45725,14.23,12.98,1.25,8.778239868,14.03568007,19.60415969,26.42729122,0.608375,0.611,0.602,0.009,0.610083,0.613639,0.629845,0.6185,0.624333,0.642429,0.602,0.602333,0.616286,9.5,14.2,18.9,9.4,16.35,17.33333,15.25714,22.55,24.03333,23.3,10.15,10.6,7.185714,7.112167,7.179,6.978,0.201,6.943792,6.749625,6.320196,7.0785,6.876,6.382857,6.7245,6.538333,6.194429,0.051875,0.055,0.046,0.009,0.050188,0.049417,0.070327,0.056,0.059667,0.086286,0.043,0.037667,0.053,1.29,1.29,10228.5,1176.813373,0.071
Anvil,6/10/2023,13.36504,15.187,11.431,3.756,26.93088105,17.85456046,18.3340804,25.74596573,0.6045,0.612,0.597,0.015,0.606438,0.608222,0.622631,0.6115,0.616333,0.634143,0.5995,0.600333,0.610286,6.7,9.4,12.1,5.4,11.8,14.03333,15.01429,15.5,19.06667,22.21429,8.1,9,7.785714,7.263167,7.28,7.179,0.101,7.187667,7.05025,6.520649,7.2295,7.145667,6.585714,7.0785,6.876,6.382857,0.04875,0.061,0.033,0.028,0.050313,0.049708,0.059679,0.058,0.057667,0.074286,0.0395,0.039667,0.043286,2.72,4.01,9546.75,1176.813373,0.071
