"Site","Datetime","range_WT","Solar_daily","WL_min_7day","Air_tmax_7day","GWT_max","GWL_mean","ppt_7day","Air_trange","GWT_range","GWL_range","Water_area_m2_3d"
"Crater","6/1/2023",0.97,31.38911895,0.715429,18.58571,5.347,0.210583,1.19,10.6,0.103,0.024,37748.25
"Crater","6/2/2023",0.969,32.08895947,0.711286,18.11429,5.45,0.207417,1.19,15.1,0.103,0.034,33835.5
"Crater","6/3/2023",1.161,31.80384053,0.704429,17.9,5.552,0.201583,0,17.2,0.102,0.041,29922.75
"Crater","6/4/2023",1.06,31.37184053,0.698429,18.6,5.655,0.197458,0,19.4,0.103,0.026,25904.25
"Crater","6/5/2023",1.155,31.7088,0.691,18.74286,5.757,0.19125,0,16.6,0.102,0.044,22554
"Crater","6/6/2023",1.248,31.58784053,0.682,19.42857,5.86,0.187292,0,19.3,0.103,0.041,19974
"Crater","6/7/2023",0.958,30.83615947,0.673714,20.94286,5.962,0.187042,0,15.5,0.102,0.041,18577.5
"Crater","6/8/2023",0.67,18.99935947,0.668714,22.95714,6.064,0.189375,0,15.4,0.102,0.018,17590.5
"Crater","6/9/2023",0.863,8.830079736,0.666,23.3,6.166,0.193875,1.29,9.4,0.102,0.008,16911
"Crater","6/10/2023",1.059,26.88768105,0.662571,22.21429,6.268,0.191375,4.01,5.4,0.102,0.026,16231.5
"Crater","6/11/2023",1.342,31.18175947,0.657,21.68571,6.471,0.186833,4.01,13.6,0.203,0.043,15949.5
"Crater","6/12/2023",0.766,31.03488105,0.653143,22.05714,6.573,0.182667,4.01,18.5,0.102,0.04,15477
"Crater","6/13/2023",0.478,30.55104053,0.651429,21.95714,6.674,0.186125,4.01,15.5,0.101,0.031,14814
"Crater","6/14/2023",0.861,31.09535947,0.650286,20.91429,6.775,0.193333,4.01,14.8,0.101,0.025,13563
"Crater","6/15/2023",0.671,31.4928,0.646286,19.07143,6.877,0.188625,4.45,9.9,0.102,0.029,12312
"Crater","6/16/2023",0.766,25.68671895,0.640429,19.1,6.978,0.184833,3.16,15.6,0.101,0.04,11687.57143
"Crater","6/17/2023",0.382,29.29824053,0.639286,20.65714,7.079,0.182583,0.44,17.1,0.101,0.016,11689.71429
"Crater","6/18/2023",0.957,14.76575947,0.641857,20.07143,7.179,0.1975,1.38,12.5,0.1,0.024,12318.42857
"Crater","6/19/2023",1.251,9.2448,0.644857,17.7,7.28,0.204042,13.6,7.2,0.101,0.02,12947.14286
"Crater","6/20/2023",0.773,21.47904053,0.644714,15.2,7.28,0.198833,20.48,6.8,0,0.023,13575.85714
"Crater","6/21/2023",1.354,32.08895947,0.641857,13.98571,7.381,0.193875,20.97,9.7,0.101,0.042,14204.57143
"Crater","6/22/2023",1.156,32.19264053,0.638429,14.78571,7.381,0.184417,20.53,17.3,0,0.053,14833.28571
"Crater","6/23/2023",0.767,32.04575947,0.636571,15.34286,7.381,0.178917,20.53,16.7,0,0.041,14692.42857
"Crater","6/24/2023",0.958,32.06304053,0.631857,15.24286,7.481,0.175792,20.53,14.8,0.1,0.05,13782
"Crater","6/25/2023",0.765,31.97664053,0.625286,16.25714,7.481,0.173625,19.59,15.7,0,0.05,12102
"Crater","6/26/2023",0.764,31.63104053,0.619286,18.34286,7.481,0.17175,7.37,15.7,0,0.045,10769
"Crater","6/27/2023",0.573,31.48415947,0.615,20.3,7.582,0.170875,0.49,13.7,0.101,0.047,9687.75
"Crater","6/28/2023",0.763,31.39775947,0.611143,21.75714,7.582,0.165833,0,13.9,0,0.051,8858.25
"Crater","6/29/2023",0.668,31.47551895,0.607429,22.54286,7.682,0.158917,0,15.8,0.1,0.058,7933.5
"Crater","6/30/2023",0.477,31.52735947,0.602571,23.07143,7.682,0.155458,0,16.8,0,0.059,7008.75
"Crater","7/1/2023",0.476,31.09535947,0.599429,23.81429,7.782,0.155208,0,18,0.1,0.053,6372
"Crater","7/2/2023",0.477,30.52511895,0.595286,24.14286,7.882,0.150375,0,17.2,0.1,0.06,6023.25
"Crater","7/3/2023",0.381,30.98304053,0.589714,24.67143,7.882,0.149708,0,18.8,0,0.064,5962.5
"Crater","7/4/2023",0.286,31.13855947,0.583286,25.38571,7.983,0.147792,0,18.1,0.101,0.064,5901.75
"Crater","7/5/2023",0.191,30.672,0.578,26.27143,8.082,0.1425,0,15.3,0.099,0.066,5841
"Crater","7/6/2023",0.095,30.43871895,0.574,27.07143,8.182,0.138583,0,17,0.1,0.064,5780.25
"Crater","7/7/2023",0.095,30.25728105,0.570571,27.24286,8.282,0.136042,0,16.4,0.1,0.06,5719.5
"Crater","7/8/2023",0.095,30.2832,0.566,27.01429,8.382,0.134375,0,16.6,0.1,0.063,5658.75
"Crater","7/9/2023",0.095,30.024,0.562,27.15714,8.481,0.130333,0,17.1,0.099,0.059,5627.25
"Crater","7/10/2023",0,30.42144053,0.560143,27.02857,8.581,0.129958,0,16.4,0.1,0.046,5625
"Crater","7/11/2023",0.191,30.2832,0.557857,26.12857,8.68,0.128125,0,11.9,0.099,0.059,5445
