"Site","Datetime","max_WT","Solar_7d","WL_max_7day","Air_tmax_7day","Air_tmin_7day","GWT_min","GWL_min_7day","ppt_7day","Air_trange","WL_daily_range","GWT_range","GWL_range","Water_area_m2_3d"
"Pint","6/1/2024",12.11,26.29398861,0.365457,13.94286,2.457143,9.077,0.160143,7.29,19.1,0.039454,0,0.043,670.2
"Pint","6/2/2024",12.11,24.21668562,0.386053,15.25714,3.285714,9.077,0.162286,5.53,9.3,0.197115,0.099,0.053,714.6
"Pint","6/3/2024",11.528,21.93449122,0.409969,14.55714,4.1,9.176,0.168429,36.01,3.5,0.141267,0,0.032,718.2
"Pint","6/4/2024",11.334,20.9273141,0.41567,13.1,4.114286,9.176,0.169857,47.33,4.8,0.026444,0.099,0.027,721.8
"Pint","6/5/2024",12.304,21.82217124,0.415156,13.24286,4.3,9.275,0.167714,46.14,6.3,0.058868,0,0.043,725.4
"Pint","6/6/2024",12.594,21.20502838,0.418897,14.85714,4.814286,9.275,0.167857,44.09,14.4,0.060303,0,0.054,640.8
"Pint","6/7/2024",13.076,20.8014168,0.423138,16.37143,5.628571,9.275,0.169286,44.09,17.8,0.069558,0.098,0.061,528
"Pint","6/8/2024",13.461,21.02975966,0.427374,17.14286,6.528571,9.373,0.169714,44.09,18.2,0.056265,0,0.05,420
"Pint","6/9/2024",13.846,24.06363408,0.405524,18.21429,6.857143,9.373,0.167,44.09,14.5,0.052561,0.099,0.044,405
"Pint","6/10/2024",13.942,26.32731419,0.380698,19.45714,6.942857,9.472,0.159143,13.61,11.6,0.058772,0,0.055,423
"Pint","6/11/2024",13.942,28.58975985,0.374238,21.44286,7.5,9.571,0.154429,2.29,14.8,0.045328,0,0.047,424
"Pint","6/12/2024",13.846,28.70331429,0.367294,22.41429,7.257143,9.571,0.151286,0.44,14.8,0.046635,0.098,0.05,408
"Pint","6/13/2024",13.365,27.75291429,0.361177,22.34286,6.8,9.669,0.148571,0.44,17.1,0.052622,0.099,0.055,375
"Pint","6/14/2024",13.076,27.40237722,0.354963,21.94286,6.171429,9.768,0.148286,0.44,19.4,0.042152,0.098,0.044,353.4285714
"Pint","6/15/2024",12.787,25.8619888,0.357919,20.4,5.3,9.866,0.151857,2.92,13.5,0.078896,0.099,0.032,343.2857143
"Pint","6/16/2024",11.916,25.42381737,0.36106,17.98571,4.214286,9.965,0.154,14.39,5.2,0.058879,0,0.034,344.5714286
"Pint","6/17/2024",11.528,23.10582857,0.360657,16.61429,3.257143,9.965,0.160286,17.74,8.7,0.013776,0.098,0.014,345.8571429
"Pint","6/18/2024",11.431,24.06116564,0.359254,14.62857,2.442857,10.063,0.159714,19.64,6.6,0.047729,0,0.047,347.1428571
"Pint","6/19/2024",11.916,24.01549692,0.356683,14.51429,2.142857,10.063,0.156857,19.2,16.1,0.05426,0,0.063,348.4285714
"Pint","6/20/2024",12.69,24.96342819,0.352481,15.01429,2.671429,10.063,0.153286,19.2,16.9,0.055266,0,0.067,349.7142857
"Pint","6/21/2024",13.173,25.28434248,0.349088,15.4,3.842857,10.063,0.148,19.2,13.9,0.061728,0,0.067,308.5714286
"Pint","6/22/2024",13.654,27.29375947,0.337111,17.04286,5.057143,10.063,0.138,16.72,16.5,0.054523,0,0.066,225
"Pint","6/23/2024",14.038,27.78500504,0.324589,19.6,6.171429,10.063,0.132429,5.25,15.3,0.027618,0.098,0.037,126
"Pint","6/24/2024",14.134,30.12891353,0.31755,20.64286,6.785714,10.161,0.123286,2.81,11.7,0.046304,0.098,0.051,54
"Pint","6/25/2024",13.846,30.06226218,0.312156,22.47143,7.014286,10.259,0.117,0.91,17.8,0.060688,0,0.073,24.75
