"Site","Datetime","mean_WT","Solar_7d","WL_max_7day","Air_tmin_7day","GWT_min","ppt_7day","Air_trange","WL_daily_range","GWT_range","GWL_range","Water_area_m2_3d"
"Pint","6/1/2024",11.55604,26.29398861,0.365457,2.457143,9.077,7.29,19.1,0.039454,0,0.043,670.2
"Pint","6/2/2024",11.78263,24.21668562,0.386053,3.285714,9.077,5.53,9.3,0.197115,0.099,0.053,714.6
"Pint","6/3/2024",11.33367,21.93449122,0.409969,4.1,9.176,36.01,3.5,0.141267,0,0.032,718.2
"Pint","6/4/2024",10.97204,20.9273141,0.41567,4.114286,9.176,47.33,4.8,0.026444,0.099,0.027,721.8
"Pint","6/5/2024",11.29192,21.82217124,0.415156,4.3,9.275,46.14,6.3,0.058868,0,0.043,725.4
"Pint","6/6/2024",11.89142,21.20502838,0.418897,4.814286,9.275,44.09,14.4,0.060303,0,0.054,640.8
"Pint","6/7/2024",12.26675,20.8014168,0.423138,5.628571,9.275,44.09,17.8,0.069558,0.098,0.061,528
"Pint","6/8/2024",12.93133,21.02975966,0.427374,6.528571,9.373,44.09,18.2,0.056265,0,0.05,420
"Pint","6/9/2024",13.34896,24.06363408,0.405524,6.857143,9.373,44.09,14.5,0.052561,0.099,0.044,405
"Pint","6/10/2024",13.62567,26.32731419,0.380698,6.942857,9.472,13.61,11.6,0.058772,0,0.055,423
"Pint","6/11/2024",13.54946,28.58975985,0.374238,7.5,9.571,2.29,14.8,0.045328,0,0.047,424
"Pint","6/12/2024",13.24063,28.70331429,0.367294,7.257143,9.571,0.44,14.8,0.046635,0.098,0.05,408
"Pint","6/13/2024",12.81883,27.75291429,0.361177,6.8,9.669,0.44,17.1,0.052622,0.099,0.055,375
"Pint","6/14/2024",12.71438,27.40237722,0.354963,6.171429,9.768,0.44,19.4,0.042152,0.098,0.044,353.4285714
"Pint","6/15/2024",12.35583,25.8619888,0.357919,5.3,9.866,2.92,13.5,0.078896,0.099,0.032,343.2857143
"Pint","6/16/2024",11.48738,25.42381737,0.36106,4.214286,9.965,14.39,5.2,0.058879,0,0.034,344.5714286
"Pint","6/17/2024",11.15896,23.10582857,0.360657,3.257143,9.965,17.74,8.7,0.013776,0.098,0.014,345.8571429
"Pint","6/18/2024",10.93542,24.06116564,0.359254,2.442857,10.063,19.64,6.6,0.047729,0,0.047,347.1428571
"Pint","6/19/2024",11.53608,24.01549692,0.356683,2.142857,10.063,19.2,16.1,0.05426,0,0.063,348.4285714
"Pint","6/20/2024",12.18658,24.96342819,0.352481,2.671429,10.063,19.2,16.9,0.055266,0,0.067,349.7142857
"Pint","6/21/2024",12.87925,25.28434248,0.349088,3.842857,10.063,19.2,13.9,0.061728,0,0.067,308.5714286
"Pint","6/22/2024",13.38113,27.29375947,0.337111,5.057143,10.063,16.72,16.5,0.054523,0,0.066,225
"Pint","6/23/2024",13.818,27.78500504,0.324589,6.171429,10.063,5.25,15.3,0.027618,0.098,0.037,126
"Pint","6/24/2024",13.874,30.12891353,0.31755,6.785714,10.161,2.81,11.7,0.046304,0.098,0.051,54
"Pint","6/25/2024",13.682,30.06226218,0.312156,7.014286,10.259,0.91,17.8,0.060688,0,0.073,24.75
"Pint","6/26/2024",13.894,29.24886797,0.306631,7.942857,10.259,0.91,19.3,0.027887,0.098,0.032,11.25
"Pint","6/27/2024",13.918,27.78870812,0.305661,8.028571,10.357,1.27,10.6,0.0268,0.098,0.027,13.5
"Pint","6/28/2024",13.51746,27.77389692,0.304404,7.385714,10.455,1.54,7,0.051547,0.098,0.058,15.75
"Pint","6/29/2024",13.694,26.48406853,0.302492,6.757143,10.553,1.54,15.3,0.038661,0.098,0.049,22.5
"Pint","6/30/2024",13.842,25.82866274,0.301422,6.685714,10.651,1.87,11.2,0.024846,0,0.034,33.75
"Pint","7/1/2024",14.026,25.63488011,0.299118,7.271429,10.651,1.62,8.3,0.038203,0.097,0.055,49.5
"Pint","7/2/2024",14.206,25.61266312,0.29735,7.885714,10.748,1.62,11.5,0.041809,0.098,0.057,65.25
"Pint","7/3/2024",14.138,26.36804613,0.297918,7.657143,10.846,1.62,13.1,0.049025,0,0.062,81.75
"Pint","7/4/2024",13.986,27.83684613,0.296598,7.614286,10.846,1.26,17,0.062501,0.098,0.079,82.5
"Pint","7/5/2024",14.066,27.89732605,0.292398,7.928571,10.944,0.99,21,0.048616,0.097,0.071,67.5
"Pint","7/6/2024",14.43704,29.40685752,0.289356,8.928571,11.041,0.99,19.7,0.046175,0,0.078,46.5
"Pint","7/7/2024",14.75658,30.04004632,0.285086,9.6,11.041,0.66,18.1,0.036737,0.098,0.075,33
"Pint","7/8/2024",15.03558,30.10546331,0.280298,10.17143,11.139,0,18.2,0.037883,0.097,0.076,30
"Pint","7/9/2024",15.36583,30.04868609,0.273228,11.22857,11.236,0,18.9,0.028469,0.098,0.074,25.5
"Pint","7/10/2024",15.74392,29.93142895,0.264563,12.67143,11.334,0,18.5,0.019049,0,0.063,22.5
"Pint","7/11/2024",15.879,29.87835481,0.256706,13.31429,11.334,0,18.2,0.020672,0.097,0.062,43.5
"Pint","7/12/2024",15.75567,29.7993606,0.252552,13.55714,11.431,0,16.2,0.028667,0.097,0.067,36
"Pint","7/13/2024",15.6165,29.65988609,0.249277,13.04286,11.528,0,18.6,0.030646,0.097,0.072,39
"Pint","7/14/2024",15.65608,29.52658301,0.24716,12.8,11.625,0,18.7,0.025532,0.097,0.063,18
"Pint","7/15/2024",15.65629,29.51300579,0.245347,12.38571,11.722,0,16.3,0.027048,0.097,0.065,33
"Pint","7/16/2024",15.54875,28.95881158,0.245255,11.64286,11.819,0,16.5,0.029512,0,0.07,45
"Pint","7/17/2024",15.56871,28.18244556,0.2458,11.01429,11.819,0,21.1,0.023923,0.097,0.056,45
"Pint","7/18/2024",15.84713,28.05531391,0.246127,11.21429,11.916,0,16.1,0.030998,0,0.065,33
"Pint","7/19/2024",15.903,27.94175947,0.245447,11.38571,11.916,0,15.8,0.034505,0.097,0.067,16.5
"Pint","7/20/2024",15.81938,27.83437684,0.244262,11.7,12.013,0,16.2,0.035804,0,0.068,13.5
"Pint","7/21/2024",15.93096,27.51099421,0.243745,11.67143,12.013,0,19.7,0.031387,0,0.035,15.3
"Pint","7/22/2024",16.11725,27.35053707,0.244656,11.65714,12.013,0,13,0.023904,0.097,0.042,14.4
