"Site","response","predictor"
"Anvil","Max","Air_tmax"
"Anvil","Max","Air_tmin_7day"
"Anvil","Max","Air_trange"
"Anvil","Max","GWL_max_7day"
"Anvil","Max","GWL_range"
"Anvil","Max","GWT_min_7day"
"Anvil","Max","GWT_range"
"Anvil","Max","Solar_3d"
"Anvil","Max","WL_daily_range"
"Anvil","Max","WL_max_7day"
"Anvil","Max","ppt"
"Anvil","Mean","Air_tmax"
"Anvil","Mean","Air_tmin"
"Anvil","Mean","Air_trange"
"Anvil","Mean","GWL_max_7day"
"Anvil","Mean","GWL_range"
"Anvil","Mean","GWT_min_7day"
"Anvil","Mean","GWT_range"
"Anvil","Mean","Solar_3d"
"Anvil","Mean","WL_daily_range"
"Anvil","Mean","WL_max_7day"
"Anvil","Mean","ppt"
"Anvil","Range","Air_tmax"
"Anvil","Range","Air_tmean_7day"
"Anvil","Range","Air_trange"
"Anvil","Range","GWL_max_7day"
"Anvil","Range","GWL_range"
"Anvil","Range","GWT_min_7day"
"Anvil","Range","GWT_range"
"Anvil","Range","Solar_daily"
"Anvil","Range","WL_daily_range"
"Anvil","Range","WL_max_7day"
"Anvil","Range","ppt_7day"
"Butte","Max","Air_tmax"
"Butte","Max","Air_tmin"
"Butte","Max","Air_trange"
"Butte","Max","GWL_max"
"Butte","Max","GWL_range"
"Butte","Max","GWT_min_7day"
"Butte","Max","GWT_range"
"Butte","Max","Solar_2d"
"Butte","Max","WL_max_2day"
"Butte","Max","WL_min_2day"
"Butte","Max","ppt_7day"
"Butte","Mean","Air_tmax_2day"
"Butte","Mean","Air_tmin"
"Butte","Mean","Air_trange"
"Butte","Mean","GWL_max"
"Butte","Mean","GWL_range"
"Butte","Mean","GWT_max"
"Butte","Mean","GWT_range"
"Butte","Mean","Solar_3d"
"Butte","Mean","WL_max_2day"
"Butte","Mean","WL_min_3day"
"Butte","Mean","ppt_7day"
"Butte","Range","Air_tmax"
"Butte","Range","Air_tmin_7day"
"Butte","Range","Air_trange"
"Butte","Range","GWT_min_7day"
"Butte","Range","GWT_range"
"Butte","Range","Solar_daily"
"Butte","Range","WL_daily_min"
"Butte","Range","WL_daily_range"
"Butte","Range","WL_max_7day"
"Butte","Range","ppt"
"Cooper","Max","Air_tmax"
"Cooper","Max","Air_tmin_3day"
"Cooper","Max","Air_trange"
"Cooper","Max","Solar_daily"
"Cooper","Max","ppt_7day"
"Cooper","Mean","Air_tmean_2day"
"Cooper","Mean","Air_tmin_3day"
"Cooper","Mean","Air_trange"
"Cooper","Mean","Solar_daily"
"Cooper","Mean","ppt_7day"
"Cooper","Range","Air_tmean"
"Cooper","Range","Air_tmin_7day"
"Cooper","Range","Air_trange"
