"Site","Datetime","max_WT","Solar_2d","Air_tmin","GWT_max","GWL_max_7day","ppt","Air_trange","WL_daily_range","GWT_range","GWL_range","Water_area_m2_3d","Elev_m","Size_km2"
"Anvil","6/1/2023",13.269,32.46047974,1.5,5.86,2.6194123391792,0,10.6,-0.521919908368189,0.103,-0.108007013570286,22355,1176.813373,0.071
"Anvil","6/2/2023",13.846,31.6224,1.4,5.86,2.43815490848439,0,15.1,-0.422777473458233,0,-0.0251337075603812,20832,1176.813373,0.071
"Anvil","6/3/2023",14.613,31.8384,2.5,5.86,2.24084512957235,0,17.2,0.0233634836365674,0,0.264922863474286,18849,1176.813373,0.071
"Anvil","6/4/2023",15.187,31.50143921,3.7,5.962,2.02631862500864,0,19.4,-0.571491125823167,0.102,-0.149443666575239,17035,1176.813373,0.071
"Anvil","6/5/2023",15.664,31.48415947,5.5,6.064,1.80836322965516,0,16.6,0.320790788366434,0.102,0.347796169484192,14874,1176.813373,0.071
"Anvil","6/6/2023",16.427,31.58784053,6.8,6.166,1.60186691429466,0,19.3,-0.0262077338184105,0.102,0.223486210469334,13116,1176.813373,0.071
"Anvil","6/7/2023",15.76,31.1256,11.5,6.471,1.41488395869796,0,15.5,0.122505918546523,0.305,0.0991762514544765,11622.75,1176.813373,0.071
"Anvil","6/8/2023",15.378,25.0171196,10.8,6.978,1.25198354052167,0,15.4,-0.323635038548278,0.507,-0.853866767659431,10910.25,1176.813373,0.071
"Anvil","6/9/2023",14.23,14.03568007,9.5,7.179,1.11661864112319,1.29,9.4,-1.06720330037295,0.201,-1.18535999169905,10228.5,1176.813373,0.071
"Anvil","6/10/2023",15.187,17.85456046,6.7,7.28,1.02025637068469,2.72,5.4,-0.769775995643078,0.101,-0.398063584604954,9546.75,1176.813373,0.071
"Anvil","6/11/2023",15.664,29.00448105,5.8,7.682,0.958303460981937,0,13.6,0.122505918546523,0.301,-0.0251337075603812,8987.25,1176.813373,0.071
"Anvil","6/12/2023",15.951,30.93552026,6.2,7.983,0.919300832021954,0,18.5,0.271219570911457,0.301,-0.0251337075603812,8537.25,1176.813373,0.071
"Anvil","6/13/2023",15.569,30.56832026,9.9,8.282,0.905537087727655,0,15.5,-0.174921386183344,0.299,-0.273753625590096,8196.75,1176.813373,0.071
"Anvil","6/14/2023",14.421,30.53376079,4.9,8.382,0.903240453615538,0,14.8,-0.571491125823167,0.1,-0.480936890614859,7843.5,1176.813373,0.071
