"Site","Datetime","mean_WT","Solar_3d","Air_tmax_2day","Air_tmin","GWT_max","GWL_max_7day","ppt","Air_trange","WL_daily_range","GWT_range","GWL_range","Water_area_m2_3d","Elev_m","Size_km2"
"Anvil","6/1/2023",12.20938,33.43391982,14.25,1.5,5.86,2.6194123391792,0,10.6,-0.521919908368189,0.103,-0.108007013570286,22355,1176.813373,0.071
"Anvil","6/2/2023",12.53058,32.2992,14.3,1.4,5.86,2.43815490848439,0,15.1,-0.422777473458233,0,-0.0251337075603812,20832,1176.813373,0.071
"Anvil","6/3/2023",13.0245,31.64831982,18.1,2.5,5.86,2.24084512957235,0,17.2,0.0233634836365674,0,0.264922863474286,18849,1176.813373,0.071
"Anvil","6/4/2023",13.73963,31.65983965,21.4,3.7,5.962,2.02631862500864,0,19.4,-0.571491125823167,0.102,-0.149443666575239,17035,1176.813373,0.071
"Anvil","6/5/2023",14.03558,31.55615947,22.6,5.5,6.064,1.80836322965516,0,16.6,0.320790788366434,0.102,0.347796169484192,14874,1176.813373,0.071
"Anvil","6/6/2023",14.73821,31.4928,24.1,6.8,6.166,1.60186691429466,0,19.3,-0.0262077338184105,0.102,0.223486210469334,13116,1176.813373,0.071
"Anvil","6/7/2023",14.70729,31.3056,26.55,11.5,6.471,1.41488395869796,0,15.5,0.122505918546523,0.305,0.0991762514544765,11622.75,1176.813373,0.071
"Anvil","6/8/2023",14.34908,27.18144009,26.6,10.8,6.978,1.25198354052167,0,15.4,-0.323635038548278,0.507,-0.853866767659431,10910.25,1176.813373,0.071
"Anvil","6/9/2023",13.45725,19.60415969,22.55,9.5,7.179,1.11661864112319,1.29,9.4,-1.06720330037295,0.201,-1.18535999169905,10228.5,1176.813373,0.071
"Anvil","6/10/2023",13.36504,18.3340804,15.5,6.7,7.28,1.02025637068469,2.72,5.4,-0.769775995643078,0.101,-0.398063584604954,9546.75,1176.813373,0.071
"Anvil","6/11/2023",13.98292,22.26240066,15.75,5.8,7.682,0.958303460981937,0,13.6,0.122505918546523,0.301,-0.0251337075603812,8987.25,1176.813373,0.071
"Anvil","6/12/2023",14.44383,29.60064053,22.05,6.2,7.983,0.919300832021954,0,18.5,0.271219570911457,0.301,-0.0251337075603812,8537.25,1176.813373,0.071
"Anvil","6/13/2023",14.50813,30.73824053,25.05,9.9,8.282,0.905537087727655,0,15.5,-0.174921386183344,0.299,-0.273753625590096,8196.75,1176.813373,0.071
"Anvil","6/14/2023",13.32742,30.62016035,22.55,4.9,8.382,0.903240453615538,0,14.8,-0.571491125823167,0.1,-0.480936890614859,7843.5,1176.813373,0.071
"Anvil","6/15/2023",13.13021,30.81888018,16.5,3.4,8.481,0.905537087727655,0.44,9.9,-0.422777473458233,0.099,-0.480936890614859,7490.25,1176.813373,0.071
"Anvil","6/16/2023",13.65108,29.18303965,16.2,3.5,8.581,0.918152514965896,0,15.6,0.122505918546523,0.1,0.0577395984495239,7330.607143,1176.813373,0.071
"Anvil","6/17/2023",13.66538,28.54943965,21.05,5.9,8.879,0.912418959874805,0,17.1,-0.769775995643078,0.298,-1.06105003268419,7364.571429,1176.813373,0.071
"Anvil","6/18/2023",12.08521,23.01408018,19.15,2.8,8.978,0.925042417302248,0.94,12.5,0.0233634836365674,0.199,-0.605246849629716,7592.142857,1176.813373,0.071
"Anvil","6/19/2023",11.33958,17.74944031,11.7,0.9,8.779,0.939954478652606,12.22,7.2,-0.7202047781881,0.298,-0.895303420664384,7819.714286,1176.813373,0.071
"Anvil","6/20/2023",11.29996,15.28127996,8,1.1,8.581,0.951421588834787,6.88,6.8,-0.323635038548278,0.199,-0.646683502634669,8047.285714,1176.813373,0.071
"Anvil","6/21/2023",11.2725,21.01823943,9.55,1.5,8.382,0.96519336331829,0.49,9.7,0.0729347010915453,0.2,0.0577395984495239,8274.857143,1176.813373,0.071
"Anvil","6/22/2023",11.81617,28.50623965,15.05,1.6,8.382,0.980105424668648,0,17.3,0.866074180371191,0.1,0.472106128499049,8502.428571,1176.813373,0.071
"Anvil","6/23/2023",12.52433,32.0112,20.95,6.3,8.68,0.981253741724707,0,16.7,0.519075658186346,0.298,0.0577395984495239,8386.142857,1176.813373,0.071
"Anvil","6/24/2023",12.66446,32.00544053,22.65,7.5,8.879,0.993869168962947,0,14.8,0.568646875641324,0.1,0.306359516479239,7926,1176.813373,0.071
"Anvil","6/25/2023",12.93808,31.9363207,22.35,6.7,9.176,0.989283930927915,0,15.7,0.667789310551279,0.198,0.347796169484192,7122,1176.813373,0.071
"Anvil","6/26/2023",13.24775,31.78080088,22.55,7,9.472,0.988135613871856,0,15.7,0.469504440731368,0.296,0.389232822489144,6505,1176.813373,0.071
"Anvil","6/27/2023",13.44042,31.58784053,22.15,7.9,9.669,0.985838979759738,0,13.7,0.41993322327639,0.197,0.347796169484192,6075,1176.813373,0.071
"Anvil","6/28/2023",13.37183,31.39488018,21.5,7.5,9.866,0.974363839388354,0,13.9,0.667789310551279,0.098,0.637852740518859,5832,1176.813373,0.071
"Anvil","6/29/2023",13.78863,31.36608018,22.9,8.6,10.161,0.96519336331829,0,15.8,1.11393026764608,0.196,0.927909311553527,5589,1176.813373,0.071
