"Site","Datetime","range_WT","Solar_daily","Air_tmin_3day","GWT_max_7day","GWL_max_7day","ppt","Air_trange","WL_daily_range","GWT_range","GWL_range","Water_area_m2_3d","Elev_m","Size_km2"
"Anvil","6/1/2023",2.228,31.26815947,3.066667,5.625429,2.6194123391792,0,10.6,-0.521919908368189,0.103,-0.108007013570286,22355,1176.813373,0.071
"Anvil","6/2/2023",3.195,31.97664053,1.9,5.698714,2.43815490848439,0,15.1,-0.422777473458233,0,-0.0251337075603812,20832,1176.813373,0.071
"Anvil","6/3/2023",3.767,31.70015947,1.8,5.757286,2.24084512957235,0,17.2,0.0233634836365674,0,0.264922863474286,18849,1176.813373,0.071
"Anvil","6/4/2023",2.883,31.30271895,2.533333,5.815857,2.02631862500864,0,19.4,-0.571491125823167,0.102,-0.149443666575239,17035,1176.813373,0.071
"Anvil","6/5/2023",3.36,31.6656,3.9,5.874286,1.80836322965516,0,16.6,0.320790788366434,0.102,0.347796169484192,14874,1176.813373,0.071
"Anvil","6/6/2023",3.64,31.51008105,5.333333,5.932714,1.60186691429466,0,19.3,-0.0262077338184105,0.102,0.223486210469334,13116,1176.813373,0.071
"Anvil","6/7/2023",2.491,30.74111895,7.933333,6.034714,1.41488395869796,0,15.5,0.122505918546523,0.305,0.0991762514544765,11622.75,1176.813373,0.071
"Anvil","6/8/2023",1.628,19.29312026,9.7,6.194429,1.25198354052167,0,15.4,-0.323635038548278,0.507,-0.853866767659431,10910.25,1176.813373,0.071
"Anvil","6/9/2023",1.25,8.778239868,10.6,6.382857,1.11661864112319,1.29,9.4,-1.06720330037295,0.201,-1.18535999169905,10228.5,1176.813373,0.071
"Anvil","6/10/2023",3.756,26.93088105,9,6.585714,1.02025637068469,2.72,5.4,-0.769775995643078,0.101,-0.398063584604954,9546.75,1176.813373,0.071
"Anvil","6/11/2023",3.554,31.07808105,7.333333,6.831429,0.958303460981937,0,13.6,0.122505918546523,0.301,-0.0251337075603812,8987.25,1176.813373,0.071
"Anvil","6/12/2023",2.875,30.79295947,6.233333,7.105571,0.919300832021954,0,18.5,0.271219570911457,0.301,-0.0251337075603812,8537.25,1176.813373,0.071
"Anvil","6/13/2023",2.396,30.34368105,7.3,7.407857,0.905537087727655,0,15.5,-0.174921386183344,0.299,-0.273753625590096,8196.75,1176.813373,0.071
"Anvil","6/14/2023",2.602,30.72384053,7,7.680857,0.903240453615538,0,14.8,-0.571491125823167,0.1,-0.480936890614859,7843.5,1176.813373,0.071
"Anvil","6/15/2023",2.795,31.38911895,6.066667,7.895571,0.905537087727655,0.44,9.9,-0.422777473458233,0.099,-0.480936890614859,7490.25,1176.813373,0.071
"Anvil","6/16/2023",3.271,25.43615947,3.933333,8.095857,0.918152514965896,0,15.6,0.122505918546523,0.1,0.0577395984495239,7330.607143,1176.813373,0.071
"Anvil","6/17/2023",1.538,28.82304053,4.266667,8.324286,0.912418959874805,0,17.1,-0.769775995643078,0.298,-1.06105003268419,7364.571429,1176.813373,0.071
