Site,Metric,Model,Variable,Importance,rho
Global,Max WT,xgb,Size_km2,2.201334,0.317624
Global,Max WT,xgb,Solar_2d,1.350365,0.448256
Global,Max WT,xgb,Water_area_m2_3d,0.962648,0.130629
Global,Max WT,xgb,Air_tmin,0.713224,0.266502
Global,Max WT,xgb,GWT_max,0.608465,0.2482
Global,Max WT,xgb,GWL_max_7day,0.545415,0.159559
Global,Max WT,xgb,Elev_m,0.512847,-0.31691
Global,Max WT,xgb,WL_daily_range,0.483233,-0.07558
Global,Max WT,xgb,Air_trange,0.157212,0.30821
Global,Max WT,xgb,GWT_range,0.079874,0.054905
Global,Max WT,xgb,ppt,0.043701,-0.26421
Global,Max WT,rfr,Size_km2,1.728675,0.317624
Global,Max WT,rfr,Solar_2d,1.363155,0.448256
Global,Max WT,rfr,Water_area_m2_3d,0.873552,0.130629
Global,Max WT,rfr,Elev_m,0.771585,-0.31691
Global,Max WT,rfr,Air_tmin,0.547547,0.266502
Global,Max WT,rfr,GWL_max_7day,0.547321,0.159559
Global,Max WT,rfr,GWT_max,0.484526,0.2482
Global,Max WT,rfr,WL_daily_range,0.396786,-0.07558
Global,Max WT,rfr,Air_trange,0.089909,0.30821
Global,Max WT,rfr,GWT_range,0.075203,0.054905
Global,Max WT,rfr,ppt,0.044553,-0.26421
Global,Mean WT,xgb,Size_km2,2.049425,0.467954
Global,Mean WT,xgb,Elev_m,1.146825,-0.60483
Global,Mean WT,xgb,Solar_3d,1.106841,0.276975
Global,Mean WT,xgb,Water_area_m2_3d,0.757091,0.118911
Global,Mean WT,xgb,Air_tmin,0.673603,0.225895
Global,Mean WT,xgb,GWL_max_7day,0.654474,0.066801
Global,Mean WT,xgb,GWT_max,0.547076,0.394646
Global,Mean WT,xgb,WL_daily_range,0.537385,-0.09523
Global,Mean WT,xgb,Air_tmax_2day,0.386927,0.253941
Global,Mean WT,xgb,Air_trange,0.164262,0.190899
Global,Mean WT,xgb,ppt,0.040644,-0.15271
Global,Mean WT,rfr,Size_km2,1.564463,0.467954
Global,Mean WT,rfr,Elev_m,1.075239,-0.60483
Global,Mean WT,rfr,Solar_3d,0.964455,0.276975
Global,Mean WT,rfr,Water_area_m2_3d,0.574354,0.118911
Global,Mean WT,rfr,GWL_max_7day,0.460809,0.066801
Global,Mean WT,rfr,Air_tmin,0.410982,0.225895
Global,Mean WT,rfr,GWT_max,0.406619,0.394646
Global,Mean WT,rfr,Air_tmax_2day,0.308144,0.253941
Global,Mean WT,rfr,WL_daily_range,0.225681,-0.09523
Global,Mean WT,rfr,Air_trange,0.055439,0.190899
Global,Mean WT,rfr,ppt,0.022612,-0.15271
Global,Range WT,xgb,Size_km2,1.158547,-0.48321
Global,Range WT,xgb,Solar_daily,0.495573,0.25899
Global,Range WT,xgb,Water_area_m2_3d,0.274748,-0.15162
Global,Range WT,xgb,Elev_m,0.253932,0.437916
Global,Range WT,xgb,WL_daily_range,0.160744,0.074285
