response,set,alg,Variable,Importance,Stderr,type
max,A,xgb,Size_km2,2.2013336064295466,NA,cpi
max,A,xgb,Solar_2d,1.350364778110009,NA,cpi
max,A,xgb,Water_area_m2_3d,0.9626476805240417,NA,cpi
max,A,xgb,Air_tmin,0.7132240585631872,NA,cpi
max,A,xgb,GWT_max,0.6084653319491999,NA,cpi
max,A,xgb,GWL_max_7day,0.5454150991760227,NA,cpi
max,A,xgb,Elev_m,0.5128466507980639,NA,cpi
max,A,xgb,WL_daily_range,0.48323333779949285,NA,cpi
max,A,xgb,GWL_range,0.2159449782311756,NA,cpi
max,A,xgb,Air_trange,0.15721187082802568,NA,cpi
max,A,xgb,GWT_range,0.07987396357423036,NA,cpi
max,A,xgb,ppt,0.043700803052785314,NA,cpi
max,A,rfr,Size_km2,1.7286753337806862,NA,cpi
max,A,rfr,Solar_2d,1.3631548146648182,NA,cpi
max,A,rfr,Water_area_m2_3d,0.873552409186366,NA,cpi
max,A,rfr,Elev_m,0.7715846749643033,NA,cpi
max,A,rfr,Air_tmin,0.5475472271256907,NA,cpi
max,A,rfr,GWL_max_7day,0.5473207180401257,NA,cpi
max,A,rfr,GWT_max,0.4845259288728,NA,cpi
max,A,rfr,WL_daily_range,0.3967860461014216,NA,cpi
max,A,rfr,GWL_range,0.1811373559604021,NA,cpi
max,A,rfr,Air_trange,0.0899088795951836,NA,cpi
max,A,rfr,GWT_range,0.07520313314274804,NA,cpi
max,A,rfr,ppt,0.04455281722773197,NA,cpi
max,B,xgb,Solar_2d,1.6797680852385966,NA,cpi
max,B,xgb,Elev_m,1.1911076558927474,NA,cpi
max,B,xgb,Size_km2,0.991139944475228,NA,cpi
max,B,xgb,Air_tmin,0.623426309365863,NA,cpi
max,B,xgb,Air_trange,0.3350429452618465,NA,cpi
max,B,xgb,ppt,0.18290970941903517,NA,cpi
max,B,rfr,Solar_2d,1.277497959168858,NA,cpi
max,B,rfr,Elev_m,1.0811968185725676,NA,cpi
max,B,rfr,Size_km2,0.835797423094894,NA,cpi
max,B,rfr,Air_tmin,0.37766214451811075,NA,cpi
max,B,rfr,Air_trange,0.1993559971563651,NA,cpi
max,B,rfr,ppt,0.12501466694507496,NA,cpi
mean,A,xgb,Size_km2,2.0494253587236426,NA,cpi
mean,A,xgb,Elev_m,1.146824715286118,NA,cpi
mean,A,xgb,Solar_3d,1.1068408510876626,NA,cpi
mean,A,xgb,Water_area_m2_3d,0.7570911715488223,NA,cpi
mean,A,xgb,Air_tmin,0.6736031970187295,NA,cpi
mean,A,xgb,GWL_max_7day,0.6544744814859476,NA,cpi
mean,A,xgb,GWT_max,0.5470759371097542,NA,cpi
mean,A,xgb,WL_daily_range,0.5373849850249812,NA,cpi
mean,A,xgb,Air_tmax_2day,0.38692663391160187,NA,cpi
mean,A,xgb,GWL_range,0.18286726688209545,NA,cpi
mean,A,xgb,Air_trange,0.16426191645876986,NA,cpi
mean,A,xgb,GWT_range,0.12975265334686065,NA,cpi
mean,A,xgb,ppt,0.04064410976757519,NA,cpi
mean,A,rfr,Size_km2,1.5644633366624787,NA,cpi
mean,A,rfr,Elev_m,1.075239041845213,NA,cpi
mean,A,rfr,Solar_3d,0.9644547479601409,NA,cpi
mean,A,rfr,Water_area_m2_3d,0.5743537518888999,NA,cpi
mean,A,rfr,GWL_max_7day,0.46080871515612604,NA,cpi
mean,A,rfr,Air_tmin,0.41098209749603676,NA,cpi
mean,A,rfr,GWT_max,0.40661915481325733,NA,cpi
mean,A,rfr,Air_tmax_2day,0.30814391832744914,NA,cpi
mean,A,rfr,WL_daily_range,0.2256806362810025,NA,cpi
mean,A,rfr,GWL_range,0.12576524051094137,NA,cpi
mean,A,rfr,GWT_range,0.0621128786738826,NA,cpi
mean,A,rfr,Air_trange,0.05543878741598868,NA,cpi
mean,A,rfr,ppt,0.022611757539697283,NA,cpi
mean,B,xgb,Elev_m,2.418883298334988,NA,cpi
mean,B,xgb,Solar_3d,1.6401595789670615,NA,cpi
mean,B,xgb,Size_km2,1.6105102404011258,NA,cpi
mean,B,xgb,Air_tmin,0.7145533610239028,NA,cpi
mean,B,xgb,Air_tmax_2day,0.5992631203091209,NA,cpi
mean,B,xgb,Air_trange,0.3944801412274826,NA,cpi
mean,B,xgb,ppt,0.22167851328187174,NA,cpi
mean,B,rfr,Elev_m,2.194750347429932,NA,cpi
mean,B,rfr,Size_km2,1.497329904605569,NA,cpi
mean,B,rfr,Solar_3d,1.3285930674113253,NA,cpi
mean,B,rfr,Air_tmin,0.5154461110661113,NA,cpi
mean,B,rfr,Air_tmax_2day,0.5085758355936096,NA,cpi
mean,B,rfr,Air_trange,0.2527932096644318,NA,cpi
mean,B,rfr,ppt,0.1086302087175883,NA,cpi
range,A,xgb,Size_km2,1.15854694121926,NA,cpi
range,A,xgb,Solar_daily,0.49557320650120806,NA,cpi
range,A,xgb,Water_area_m2_3d,0.27474770906473195,NA,cpi
range,A,xgb,Elev_m,0.25393161028627564,NA,cpi
range,A,xgb,WL_daily_range,0.16074382452686467,NA,cpi
range,A,xgb,GWL_max_7day,0.15582914488985702,NA,cpi
range,A,xgb,GWL_range,0.14147410707082808,NA,cpi
range,A,xgb,GWT_max_7day,0.10763513344450207,NA,cpi
range,A,xgb,Air_trange,0.04296759876585282,NA,cpi
range,A,xgb,Air_tmin_3day,0.04239917527620493,NA,cpi
range,A,xgb,GWT_range,0.036208453364613036,NA,cpi
range,A,xgb,ppt,0.01750892169586038,NA,cpi
range,A,rfr,Size_km2,0.8127225549556205,NA,cpi
range,A,rfr,Elev_m,0.6072472672787046,NA,cpi
range,A,rfr,Solar_daily,0.48220316535010704,NA,cpi
range,A,rfr,Water_area_m2_3d,0.38949759997878264,NA,cpi
range,A,rfr,GWL_max_7day,0.2192580851698609,NA,cpi
range,A,rfr,WL_daily_range,0.21246852071357616,NA,cpi
range,A,rfr,GWL_range,0.19399659138908174,NA,cpi
range,A,rfr,GWT_max_7day,0.1813001291990238,NA,cpi
range,A,rfr,Air_trange,0.07705959977831675,NA,cpi
range,A,rfr,Air_tmin_3day,0.06434611586748508,NA,cpi
range,A,rfr,GWT_range,0.03930302846667348,NA,cpi
range,A,rfr,ppt,0.038636372412148706,NA,cpi
range,B,xgb,Elev_m,1.527884571323136,NA,cpi
range,B,xgb,Size_km2,1.09220703493702,NA,cpi
range,B,xgb,Solar_daily,0.9014485444881251,NA,cpi
range,B,xgb,Air_tmin_3day,0.25231637817275776,NA,cpi
range,B,xgb,Air_trange,0.2172771239440111,NA,cpi
range,B,xgb,ppt,0.17321578707382118,NA,cpi
range,B,rfr,Elev_m,1.535375481470803,NA,cpi
range,B,rfr,Size_km2,0.8781084455280632,NA,cpi
range,B,rfr,Solar_daily,0.6738394926424487,NA,cpi
range,B,rfr,Air_trange,0.14898371094486912,NA,cpi
range,B,rfr,ppt,0.1424398690600467,NA,cpi
range,B,rfr,Air_tmin_3day,0.11552127912314147,NA,cpi
max,A,lme,Size_km2,0.5675607775955667,NA,cpi
max,A,lme,Elev_m,0.4903428165884547,NA,cpi
max,A,lme,Solar_2d,0.23467462223532665,NA,cpi
max,A,lme,Air_tmin,0.0621583949171165,NA,cpi
max,A,lme,Air_trange,0.002137454305247255,NA,cpi
max,A,lme,ppt,-1.755523090418709e-4,NA,cpi
max,A,lme,GWL_range,-0.001278281086584343,NA,cpi
max,A,lme,GWT_range,-0.002815792757077773,NA,cpi
max,A,lme,WL_daily_range,-0.0064304667804873095,NA,cpi
max,A,lme,GWT_max,-0.008719539983208513,NA,cpi
max,A,lme,GWL_max_7day,-0.024561550168918256,NA,cpi
max,A,lme,Water_area_m2_3d,-0.026729961437494287,NA,cpi
max,B,lme,Solar_2d,0.48910346447975583,NA,cpi
max,B,lme,Elev_m,0.40591012070117216,NA,cpi
max,B,lme,Size_km2,0.26874391488932825,NA,cpi
max,B,lme,Air_tmin,0.07079785501727875,NA,cpi
max,B,lme,ppt,-0.0014003899631738204,NA,cpi
max,B,lme,Air_trange,-0.011127994198711022,NA,cpi
mean,A,lme,Size_km2,0.8706669708475783,NA,cpi
mean,A,lme,Elev_m,0.3731775206185737,NA,cpi
mean,A,lme,Solar_3d,0.12585527368837957,NA,cpi
