response,set,alg,param,value
max,A,xgb,nrounds,400
max,A,xgb,max_depth,12
max,A,xgb,eta,0.05
max,A,xgb,gamma,0
max,A,xgb,colsample_bytree,0.8
max,A,xgb,min_child_weight,1
max,A,xgb,subsample,0.9
max,A,xgb,mtry,NA
max,A,xgb,splitrule,NA
max,A,xgb,min.node.size,NA
max,A,rfr,nrounds,NA
max,A,rfr,max_depth,NA
max,A,rfr,eta,NA
max,A,rfr,gamma,NA
max,A,rfr,colsample_bytree,NA
max,A,rfr,min_child_weight,NA
max,A,rfr,subsample,NA
max,A,rfr,mtry,7
max,A,rfr,splitrule,variance
max,A,rfr,min.node.size,1
max,B,xgb,nrounds,400
max,B,xgb,max_depth,6
max,B,xgb,eta,0.05
max,B,xgb,gamma,1
max,B,xgb,colsample_bytree,0.8
max,B,xgb,min_child_weight,1
max,B,xgb,subsample,0.8
max,B,xgb,mtry,NA
max,B,xgb,splitrule,NA
max,B,xgb,min.node.size,NA
max,B,rfr,nrounds,NA
max,B,rfr,max_depth,NA
max,B,rfr,eta,NA
max,B,rfr,gamma,NA
max,B,rfr,colsample_bytree,NA
max,B,rfr,min_child_weight,NA
max,B,rfr,subsample,NA
max,B,rfr,mtry,3
max,B,rfr,splitrule,variance
max,B,rfr,min.node.size,10
mean,A,xgb,nrounds,400
mean,A,xgb,max_depth,12
mean,A,xgb,eta,0.05
mean,A,xgb,gamma,0
mean,A,xgb,colsample_bytree,0.8
mean,A,xgb,min_child_weight,4
mean,A,xgb,subsample,0.9
mean,A,xgb,mtry,NA
mean,A,xgb,splitrule,NA
mean,A,xgb,min.node.size,NA
mean,A,rfr,nrounds,NA
mean,A,rfr,max_depth,NA
mean,A,rfr,eta,NA
mean,A,rfr,gamma,NA
mean,A,rfr,colsample_bytree,NA
mean,A,rfr,min_child_weight,NA
mean,A,rfr,subsample,NA
mean,A,rfr,mtry,7
mean,A,rfr,splitrule,variance
mean,A,rfr,min.node.size,3
mean,B,xgb,nrounds,400
mean,B,xgb,max_depth,9
mean,B,xgb,eta,0.05
mean,B,xgb,gamma,0
mean,B,xgb,colsample_bytree,0.8
mean,B,xgb,min_child_weight,1
mean,B,xgb,subsample,0.8
mean,B,xgb,mtry,NA
mean,B,xgb,splitrule,NA
mean,B,xgb,min.node.size,NA
mean,B,rfr,nrounds,NA
mean,B,rfr,max_depth,NA
mean,B,rfr,eta,NA
mean,B,rfr,gamma,NA
mean,B,rfr,colsample_bytree,NA
mean,B,rfr,min_child_weight,NA
mean,B,rfr,subsample,NA
mean,B,rfr,mtry,3
mean,B,rfr,splitrule,variance
mean,B,rfr,min.node.size,1
range,A,xgb,nrounds,400
range,A,xgb,max_depth,9
range,A,xgb,eta,0.1
range,A,xgb,gamma,1
range,A,xgb,colsample_bytree,0.8
range,A,xgb,min_child_weight,1
range,A,xgb,subsample,0.8
range,A,xgb,mtry,NA
range,A,xgb,splitrule,NA
range,A,xgb,min.node.size,NA
range,A,rfr,nrounds,NA
range,A,rfr,max_depth,NA
range,A,rfr,eta,NA
range,A,rfr,gamma,NA
range,A,rfr,colsample_bytree,NA
range,A,rfr,min_child_weight,NA
range,A,rfr,subsample,NA
range,A,rfr,mtry,4
range,A,rfr,splitrule,variance
range,A,rfr,min.node.size,1
range,B,xgb,nrounds,400
range,B,xgb,max_depth,6
range,B,xgb,eta,0.05
range,B,xgb,gamma,1
range,B,xgb,colsample_bytree,0.8
range,B,xgb,min_child_weight,4
range,B,xgb,subsample,0.8
range,B,xgb,mtry,NA
range,B,xgb,splitrule,NA
range,B,xgb,min.node.size,NA
range,B,rfr,nrounds,NA
range,B,rfr,max_depth,NA
range,B,rfr,eta,NA
range,B,rfr,gamma,NA
range,B,rfr,colsample_bytree,NA
range,B,rfr,min_child_weight,NA
range,B,rfr,subsample,NA
range,B,rfr,mtry,2
range,B,rfr,splitrule,variance
range,B,rfr,min.node.size,7
