response,set,alg,ar1_phi,term,estimate,std.error,df,statistic,p.value
max,A,lme,0.9614412185692552,(Intercept),17.04161595606299,7.006568589222812,1067,2.4322342297876935,0.015169609458685342
max,A,lme,0.9614412185692552,Solar_2d,0.08999229752389111,0.007244069317103038,1067,12.422892932763896,3.42619457778642e-33
max,A,lme,0.9614412185692552,Air_tmin,0.07336526402050064,0.007636678045408583,1067,9.606960459019247,5.142698815113565e-21
max,A,lme,0.9614412185692552,GWT_max,-0.2114265761872509,0.1722518731291141,1067,-1.2274268624572389,0.2199329236492374
max,A,lme,0.9614412185692552,GWL_max_7day,-0.41116294128439845,0.18447534300324564,1067,-2.2288232919949875,0.026033326204545643
max,A,lme,0.9614412185692552,ppt,7.462020621855937e-4,0.005037478650743114,1067,0.14813006940992518,0.8822681070644431
max,A,lme,0.9614412185692552,Air_trange,0.0035442395612806767,0.005103263229328676,1067,0.6945045556168409,0.487517034770821
max,A,lme,0.9614412185692552,WL_daily_range,0.05444910896065449,0.030321088585384376,1067,1.795750466126091,0.07281706109078595
max,A,lme,0.9614412185692552,GWT_range,-0.14851859032067352,0.2382544705736237,1067,-0.6233611900884746,0.5331804175488144
max,A,lme,0.9614412185692552,GWL_range,0.013839330660585576,0.025416412877037785,1067,0.5445036924580567,0.5862086806564357
max,A,lme,0.9614412185692552,Water_area_m2_3d,-5.032897144521173e-5,4.029986345690968e-5,1067,-1.248862083590571,0.21198944431380257
max,A,lme,0.9614412185692552,Elev_m,-0.006470919116571252,0.007990915595559462,2,-0.8097844407425765,0.5030922569821775
max,A,lme,0.9614412185692552,Size_km2,18.969193059932245,23.948336985745144,2,0.7920881133092184,0.5113362736995277
max,B,lme,0.8841497690723119,(Intercept),12.512938822862479,3.053372969090346,1492,4.098070870978564,4.3901659963000514e-5
max,B,lme,0.8841497690723119,Solar_2d,0.15516295071158068,0.008750943895667393,1492,17.730995943009315,5.543118262716025e-64
max,B,lme,0.8841497690723119,Air_tmin,0.0647695567901875,0.009132483500190353,1492,7.0922172253404545,2.031057870071703e-12
max,B,lme,0.8841497690723119,ppt,0.00517891530850371,0.006337534600935163,1492,0.8171813859192992,0.41395524508297843
max,B,lme,0.8841497690723119,Air_trange,-0.02177206933295582,0.006155697425718915,1492,-3.5368972558642437,4.172497379050543e-4
max,B,lme,0.8841497690723119,Elev_m,-0.004618555789665311,0.0030142791155945868,4,-1.5322256541442647,0.20023169215899722
max,B,lme,0.8841497690723119,Size_km2,13.428678815889384,11.847353112270051,4,1.1334750208450854,0.3203443363119813
mean,A,lme,0.985089438485866,(Intercept),12.483050392678871,5.184100583838893,1067,2.4079491110944096,0.016211258970014443
mean,A,lme,0.985089438485866,Solar_3d,0.049987681438217184,0.006063706629470961,1067,8.243749985407597,4.860402456862378e-16
mean,A,lme,0.985089438485866,Air_tmin,0.09488781756734486,0.005278269509149089,1067,17.977069454841413,2.5199372394298707e-63
mean,A,lme,0.985089438485866,GWT_max,0.030680277708492406,0.1354390452870655,1067,0.2265246158776814,0.8208368038699785
mean,A,lme,0.985089438485866,GWL_max_7day,-0.4047042282801308,0.13519209602878,1067,-2.9935494763982096,0.0028210490501227527
mean,A,lme,0.985089438485866,ppt,-0.010310931779649493,0.0033356882565977433,1067,-3.0910957459094797,0.0020459005686233756
