response,set,alg,Site,RMSE,MAE,R2,NSE,n_oof
max,A,lme,Anvil,2.303963716060604,1.8338875271855433,0.32264143178035254,0.25321586607064084,236
max,A,lme,Butte,1.4474370122642735,1.2086578302505064,0.6848423959291932,0.33296176592855087,244
max,A,lme,Crater,1.8019385902940062,1.5110689377644244,0.5639072889504733,0.40494034162758863,236
max,A,lme,Pint,1.0582823094234846,0.8753770575318025,0.3904816206139266,0.34246071576839354,122
max,A,lme,Sam,1.0969026232265975,0.9008016970079042,0.08627053265173938,-0.6228656611514864,244
max,B,lme,Anvil,2.2707209486893762,1.8452350494787932,0.40823167229900376,0.3087490956813106,244
max,B,lme,Butte,1.2386448929436733,0.99832225238508,0.6430810969891663,0.5115219949827473,244
max,B,lme,Cooper,1.5402587594542225,1.2863734439812569,0.15541117526600096,0.07915027069585767,199
max,B,lme,Crater,1.8694418002123225,1.58578669133804,0.5684908824778521,0.4118055324548209,244
max,B,lme,Hideaway,1.7104911583400224,1.4349623572159245,0.780761045505727,0.4949624734300765,206
max,B,lme,Pint,1.060051881463502,0.8869365166804097,0.3620704343232994,0.34025991182567084,122
max,B,lme,Sam,0.8372986634771968,0.6951777280745467,0.2937775387150478,0.05440053742997808,244
mean,A,lme,Anvil,2.0253360028052145,1.6672690970705601,0.06532680552877251,-0.007812348117990364,236
mean,A,lme,Butte,1.453420158402735,1.2465763244701171,0.6904627271924786,0.0471803738594847,244
mean,A,lme,Crater,2.1169091261208957,1.7775065188085386,0.36510207204140666,0.17775322912394198,236
mean,A,lme,Pint,1.397361329953195,1.1631742827781828,0.5850286944462326,-0.029582941912506655,122
mean,A,lme,Sam,0.7317143017506657,0.6199386967354447,0.2912644569528892,-0.07484772594475753,244
mean,B,lme,Anvil,1.9472582997676593,1.5751400077079318,0.23388606768564135,0.1168501375086205,244
mean,B,lme,Butte,1.2829038134946422,1.0806650156140958,0.6465947588658656,0.257636642075872,244
mean,B,lme,Cooper,0.8560820590542495,0.732732809498941,0.24414680727042215,-0.04975155150113131,199
mean,B,lme,Crater,2.173990297311462,1.8289266335807135,0.4578399017147046,0.19993979589255373,244
mean,B,lme,Hideaway,0.8651618874532269,0.7383184287617064,0.787273328501707,0.5654193397249043,206
mean,B,lme,Pint,1.277246942517423,1.0764182314400021,0.5278055515590828,0.13981148259322396,122
mean,B,lme,Sam,0.5982364152604334,0.49842071312930447,0.3930445863511562,0.28152849972833516,244
range,A,lme,Anvil,1.3672930093356517,1.1374982177338835,0.2624357172074439,0.2535468220671264,236
range,A,lme,Butte,0.7861675362484304,0.6485968763615803,0.681742598654509,0.5866379912467392,244
range,A,lme,Crater,0.5979854760408384,0.45998108309876157,0.2575654136544956,-1.2695804207543353,236
range,A,lme,Pint,0.5429799664434171,0.44587173222756016,0.3228670206756539,-1.7213091903228959,122
range,A,lme,Sam,0.4975022308015499,0.4109535156951053,0.34854741089401636,0.296549982304652,244
range,B,lme,Anvil,1.3314760490371111,1.0735073476774077,0.31564848168654436,0.30146350507285136,244
range,B,lme,Butte,0.7670756653465096,0.6298921280631957,0.6810260564301308,0.6064709860003811,244
range,B,lme,Cooper,1.406981951180582,1.147668572061186,0.1934083567733274,0.18894782057938952,199
range,B,lme,Crater,0.6991086613512956,0.5450662541255266,0.09728045531020457,-2.1543015919767066,244
range,B,lme,Hideaway,1.7558071315222434,1.467526360062561,0.6613539638077953,0.37952164968840896,206
range,B,lme,Pint,0.66122306675676,0.5297290618141979,0.05354951994788256,-3.035582840367714,122
range,B,lme,Sam,0.5104632194033866,0.4175821589198784,0.47934587478948126,0.25941981083642907,244
