Site,Metric,Set,alg,stage,predictor,vif,partner_most_corr,r_with_partner,dropped
Anvil,max,A,gls_ar1,before,Solar_3d,5.5945299399410615,NA,NA,FALSE
Anvil,max,A,gls_ar1,before,Air_tmin_7day,2.2622103897214205,NA,NA,FALSE
Anvil,max,A,gls_ar1,before,GWT_min_7day,3.42773377812757,NA,NA,FALSE
Anvil,max,A,gls_ar1,before,GWL_max_7day,4.815331600724497,NA,NA,FALSE
Anvil,max,A,gls_ar1,before,ppt,1.6031511556131908,NA,NA,FALSE
Anvil,max,A,gls_ar1,before,Air_trange,2.262069284435949,NA,NA,FALSE
Anvil,max,A,gls_ar1,before,WL_daily_range,1.3047659848134479,NA,NA,FALSE
Anvil,max,A,gls_ar1,before,GWT_range,1.1616693137733145,NA,NA,FALSE
Anvil,max,A,gls_ar1,after,Air_tmin_7day,2.216305932813919,NA,NA,FALSE
Anvil,max,A,gls_ar1,after,GWT_min_7day,3.364860215858396,NA,NA,FALSE
Anvil,max,A,gls_ar1,after,GWL_max_7day,1.9550053072401197,NA,NA,FALSE
Anvil,max,A,gls_ar1,after,ppt,1.396422527064842,NA,NA,FALSE
Anvil,max,A,gls_ar1,after,Air_trange,1.5952973185265757,NA,NA,FALSE
Anvil,max,A,gls_ar1,after,WL_daily_range,1.3044818380757355,NA,NA,FALSE
Anvil,max,A,gls_ar1,after,GWT_range,1.1506315139714807,NA,NA,FALSE
Anvil,max,A,gls_ar1,dropped,Solar_3d,5.5945299399410615,NA,0.06654729862547226,TRUE
Anvil,max,B,gls_ar1,before,Solar_3d,1.8813435683361062,NA,NA,FALSE
Anvil,max,B,gls_ar1,before,Air_tmin_7day,1.0751452714335916,NA,NA,FALSE
Anvil,max,B,gls_ar1,before,ppt,1.399678438164549,NA,NA,FALSE
Anvil,max,B,gls_ar1,before,Air_trange,2.0396747390440075,NA,NA,FALSE
Anvil,max,B,gls_ar1,after,Solar_3d,1.8813435683361062,NA,NA,FALSE
Anvil,max,B,gls_ar1,after,Air_tmin_7day,1.0751452714335916,NA,NA,FALSE
Anvil,max,B,gls_ar1,after,ppt,1.399678438164549,NA,NA,FALSE
Anvil,max,B,gls_ar1,after,Air_trange,2.0396747390440075,NA,NA,FALSE
Anvil,mean,A,gls_ar1,before,Solar_3d,5.67148361961501,NA,NA,FALSE
Anvil,mean,A,gls_ar1,before,Air_tmin,1.365270809215192,NA,NA,FALSE
Anvil,mean,A,gls_ar1,before,GWT_min_7day,2.3833011955205103,NA,NA,FALSE
Anvil,mean,A,gls_ar1,before,GWL_max_7day,5.004153258183543,NA,NA,FALSE
Anvil,mean,A,gls_ar1,before,ppt,1.6293186828444302,NA,NA,FALSE
Anvil,mean,A,gls_ar1,before,Air_trange,2.280070639979153,NA,NA,FALSE
Anvil,mean,A,gls_ar1,before,GWT_range,1.1158917614821562,NA,NA,FALSE
Anvil,mean,A,gls_ar1,before,GWL_range,1.2306731655650636,NA,NA,FALSE
Anvil,mean,A,gls_ar1,after,Air_tmin,1.331851849838906,NA,NA,FALSE
Anvil,mean,A,gls_ar1,after,GWT_min_7day,2.242650760735274,NA,NA,FALSE
Anvil,mean,A,gls_ar1,after,GWL_max_7day,1.9663684626752294,NA,NA,FALSE
Anvil,mean,A,gls_ar1,after,ppt,1.4380762476437765,NA,NA,FALSE
Anvil,mean,A,gls_ar1,after,Air_trange,1.5978372162725598,NA,NA,FALSE
Anvil,mean,A,gls_ar1,after,GWT_range,1.098328041034482,NA,NA,FALSE
Anvil,mean,A,gls_ar1,after,GWL_range,1.2136693408513228,NA,NA,FALSE
Anvil,mean,A,gls_ar1,dropped,Solar_3d,5.67148361961501,NA,0.16757070542247418,TRUE
Anvil,mean,B,gls_ar1,before,Solar_3d,1.8578930466708843,NA,NA,FALSE
Anvil,mean,B,gls_ar1,before,Air_tmin,1.0795428985155013,NA,NA,FALSE
Anvil,mean,B,gls_ar1,before,ppt,1.371967368786909,NA,NA,FALSE
Anvil,mean,B,gls_ar1,before,Air_trange,2.0554857562324553,NA,NA,FALSE
Anvil,mean,B,gls_ar1,after,Solar_3d,1.8578930466708843,NA,NA,FALSE
Anvil,mean,B,gls_ar1,after,Air_tmin,1.0795428985155013,NA,NA,FALSE
Anvil,mean,B,gls_ar1,after,ppt,1.371967368786909,NA,NA,FALSE
Anvil,mean,B,gls_ar1,after,Air_trange,2.0554857562324553,NA,NA,FALSE
Anvil,range,A,gls_ar1,before,Solar_daily,2.402205155934264,NA,NA,FALSE
Anvil,range,A,gls_ar1,before,Air_tmean_7day,2.5979348584386477,NA,NA,FALSE
Anvil,range,A,gls_ar1,before,GWT_min_7day,3.1575798455774673,NA,NA,FALSE
Anvil,range,A,gls_ar1,before,GWL_max_7day,3.253071328438217,NA,NA,FALSE
Anvil,range,A,gls_ar1,before,ppt_7day,1.8173822073894519,NA,NA,FALSE
Anvil,range,A,gls_ar1,before,Air_trange,1.6887002169178569,NA,NA,FALSE
Anvil,range,A,gls_ar1,before,WL_daily_range,1.272839378481409,NA,NA,FALSE
Anvil,range,A,gls_ar1,before,GWT_range,1.1342303149377635,NA,NA,FALSE
Anvil,range,A,gls_ar1,after,Solar_daily,2.402205155934264,NA,NA,FALSE
Anvil,range,A,gls_ar1,after,Air_tmean_7day,2.5979348584386477,NA,NA,FALSE
Anvil,range,A,gls_ar1,after,GWT_min_7day,3.1575798455774673,NA,NA,FALSE
Anvil,range,A,gls_ar1,after,GWL_max_7day,3.253071328438217,NA,NA,FALSE
Anvil,range,A,gls_ar1,after,ppt_7day,1.8173822073894519,NA,NA,FALSE
Anvil,range,A,gls_ar1,after,Air_trange,1.6887002169178569,NA,NA,FALSE
Anvil,range,A,gls_ar1,after,WL_daily_range,1.272839378481409,NA,NA,FALSE
Anvil,range,A,gls_ar1,after,GWT_range,1.1342303149377635,NA,NA,FALSE
Anvil,range,B,gls_ar1,before,Solar_daily,1.3652884892781019,NA,NA,FALSE
Anvil,range,B,gls_ar1,before,Air_tmean_7day,1.6603941236355526,NA,NA,FALSE
Anvil,range,B,gls_ar1,before,ppt_7day,1.7688232837339473,NA,NA,FALSE
