Site,Metric,Set,Model,RMSE,MAE,R2,NSE,nrounds,eta,max_depth,min_child_weight,subsample,colsample_bytree,gamma,mtry,min.node.size,k,source
Anvil,max,A,RFR,1.3783315076255438,1.0386308729508194,0.7478514837568682,0.7453078572909366,NA,NA,NA,NA,NA,NA,NA,4,1,5,orig
Anvil,max,A,XGB,1.36677279248296,0.9567118466799376,0.7507588626939123,0.7495616526229789,1000,0.1,9,1,0.8,0.8,0.1,NA,NA,5,pass2
Anvil,max,B,RFR,2.014958687740014,1.645280155737706,0.4592629173586328,0.4556973209148246,NA,NA,NA,NA,NA,NA,NA,3,3,5,orig
Anvil,max,B,XGB,1.9174523349873476,1.5300190594157237,0.5140993107172847,0.507101685591625,400,0.1,6,4,0.8,0.8,0,NA,NA,5,orig
Anvil,mean,A,RFR,0.9310955436293592,0.7284415238866104,0.8049513726578698,0.7980816565740773,NA,NA,NA,NA,NA,NA,NA,3,2,5,orig
Anvil,mean,A,XGB,0.8203918249262634,0.6182631879351256,0.8433717636844326,0.843241923245896,400,0.05,6,1,0.8,0.8,0.1,NA,NA,5,orig
Anvil,mean,B,RFR,1.46142129553215,1.2159159225578835,0.5055191608694497,0.502562935922046,NA,NA,NA,NA,NA,NA,NA,2,7,5,orig
Anvil,mean,B,XGB,1.4607910164688032,1.2113458548616505,0.5211182415089123,0.5029919108654369,400,0.1,9,4,0.9,0.8,1,NA,NA,5,orig
Anvil,range,A,RFR,0.9536873311640008,0.6770953319672128,0.6462066685223135,0.6416277194614803,NA,NA,NA,NA,NA,NA,NA,5,3,5,orig
Anvil,range,A,XGB,0.944996828224633,0.6755512357031713,0.6505384421545979,0.6481293160869093,1200,0.1,6,4,0.9,0.8,2,NA,NA,5,pass2
Anvil,range,B,RFR,1.266542626673018,0.949439647540984,0.3740733000240738,0.36793461725315546,NA,NA,NA,NA,NA,NA,NA,3,1,5,orig
Anvil,range,B,XGB,1.288683176993239,0.9524501460839491,0.35884418813481817,0.3456430769056076,1200,0.05,12,2,0.8,0.8,1,NA,NA,5,pass2
Butte,max,A,RFR,0.8859357769769091,0.6592815689890696,0.7701653168908192,0.7501059813960482,NA,NA,NA,NA,NA,NA,NA,4,5,5,orig
Butte,max,A,XGB,0.7557425626247622,0.5804514019762884,0.8195679072124209,0.8181559294700103,1200,0.05,12,3,0.9,1,0.1,NA,NA,5,pass2
Butte,max,B,RFR,0.7841306541501551,0.5977358770491817,0.8073776188149526,0.8042380669377507,NA,NA,NA,NA,NA,NA,NA,4,2,5,pass2
Butte,max,B,XGB,0.7125303217162401,0.5593283809599329,0.8383965997128733,0.8383565610306458,1200,0.1,9,1,0.8,1,1,NA,NA,5,pass2
Butte,mean,A,RFR,0.6638931167481077,0.5093477418852448,0.8063472697006667,0.8011962065213029,NA,NA,NA,NA,NA,NA,NA,8,1,5,orig
Butte,mean,A,XGB,0.5840221997977975,0.44995571181625615,0.8480829412127724,0.8461537031957059,1200,0.05,9,1,0.8,0.8,0,NA,NA,5,pass2
Butte,mean,B,RFR,0.6660753226901966,0.5139150091106557,0.8031682675445706,0.7998871288823823,NA,NA,NA,NA,NA,NA,NA,3,5,5,orig
Butte,mean,B,XGB,0.6481800290120958,0.4912352791470387,0.8112406105373322,0.810495456398436,400,0.1,14,2,0.9,0.8,1,NA,NA,5,pass2
Butte,range,A,RFR,0.6130783134195162,0.4802621264687135,0.7513737418688164,0.7486191128814821,NA,NA,NA,NA,NA,NA,NA,7,20,5,pass2
Butte,range,A,XGB,0.6019558146768127,0.4688553453918363,0.7588175600414939,0.7576575052046197,400,0.1,6,4,0.9,0.8,1,NA,NA,5,orig
Butte,range,B,RFR,0.6881695759400625,0.5349878211526009,0.683708053241377,0.6832684810438158,NA,NA,NA,NA,NA,NA,NA,3,20,5,pass2
Butte,range,B,XGB,0.6985054879740044,0.5465432261814837,0.675943264107022,0.6736827805142438,400,0.05,9,1,0.8,1,1,NA,NA,5,orig
Cooper,max,A,RFR,1.1878890836497291,0.8773141289844774,0.4541117664961919,0.4522868439625076,NA,NA,NA,NA,NA,NA,NA,5,10,5,pass2
Cooper,max,A,XGB,1.1599158401082643,0.8623274027038268,0.4870228757047598,0.4777789798971328,400,0.05,9,1,0.9,0.8,1,NA,NA,5,orig
Cooper,max,B,RFR,1.1878890836497291,0.8773141289844774,0.4541117664961919,0.4522868439625076,NA,NA,NA,NA,NA,NA,NA,5,10,5,pass2
Cooper,max,B,XGB,1.1599158401082643,0.8623274027038268,0.4870228757047598,0.4777789798971328,400,0.05,9,1,0.9,0.8,1,NA,NA,5,orig
Cooper,mean,A,RFR,0.5153044751485241,0.4021097098576224,0.620245046909187,0.6196498760332809,NA,NA,NA,NA,NA,NA,NA,3,3,5,orig
Cooper,mean,A,XGB,0.5049204450972179,0.3806918762450865,0.6353913267803485,0.6348244881152536,400,0.1,9,4,0.8,1,1,NA,NA,5,orig
Cooper,mean,B,RFR,0.5153044751485241,0.4021097098576224,0.620245046909187,0.6196498760332809,NA,NA,NA,NA,NA,NA,NA,3,3,5,orig
Cooper,mean,B,XGB,0.5049204450972179,0.3806918762450865,0.6353913267803485,0.6348244881152536,400,0.1,9,4,0.8,1,1,NA,NA,5,orig
Cooper,range,A,RFR,1.2574100876571526,0.9770265724006024,0.3535754262827098,0.3522228515863617,NA,NA,NA,NA,NA,NA,NA,1,1,5,orig
Cooper,range,A,XGB,1.3285984176986414,1.024772606398846,0.30096499779724395,0.2767986889733569,400,0.1,14,1,0.8,0.8,2,NA,NA,5,pass2
Cooper,range,B,RFR,1.2574100876571526,0.9770265724006024,0.3535754262827098,0.3522228515863617,NA,NA,NA,NA,NA,NA,NA,1,1,5,orig
Cooper,range,B,XGB,1.3285984176986414,1.024772606398846,0.30096499779724395,0.2767986889733569,400,0.1,14,1,0.8,0.8,2,NA,NA,5,pass2
Crater,max,A,RFR,0.8966976844183258,0.677199991525423,0.8602422999464345,0.8526423684215096,NA,NA,NA,NA,NA,NA,NA,7,3,5,orig
Crater,max,A,XGB,0.8629208186951398,0.6406923155380507,0.8683258899955949,0.8635346385574839,1200,0.05,14,4,0.8,0.8,0.1,NA,NA,5,pass2
Crater,max,B,RFR,1.4291174684938242,1.1423362924863416,0.6582914782659914,0.6562577681210919,NA,NA,NA,NA,NA,NA,NA,2,2,5,orig
Crater,max,B,XGB,1.381090296271468,1.063294964180618,0.6791488407541881,0.6789732776608564,400,0.05,9,4,0.8,0.8,0,NA,NA,5,orig
Crater,mean,A,RFR,0.9719194946647206,0.7801217350339008,0.8413966336265666,0.8266761478564554,NA,NA,NA,NA,NA,NA,NA,5,2,4,pass2
Crater,mean,A,XGB,0.8810073565965498,0.6923680003584521,0.865621787213761,0.8575846452622744,600,0.1,4,4,0.9,0.8,0,NA,NA,4,pass2
Crater,mean,B,RFR,1.420420636509754,1.1165310641871566,0.6608697784167528,0.6584601272120287,NA,NA,NA,NA,NA,NA,NA,3,3,5,pass2
Crater,mean,B,XGB,1.3736610198425607,1.0799441080792536,0.6806023193735752,0.6805766833470669,1000,0.05,9,4,0.8,0.8,2,NA,NA,5,pass2
Crater,range,A,RFR,0.24903102028646515,0.191688602259887,0.6104277150851654,0.6063853988688159,NA,NA,NA,NA,NA,NA,NA,4,5,5,orig
Crater,range,A,XGB,0.24486126923493673,0.18764151316502337,0.6260944333993654,0.6194563345450406,1200,0.05,6,3,0.8,0.8,0.05,NA,NA,5,pass2
Crater,range,B,RFR,0.31435021446402733,0.24858988416161693,0.3656488968215193,0.3622633564621395,NA,NA,NA,NA,NA,NA,NA,1,3,5,orig
Crater,range,B,XGB,0.3161613949040858,0.25235091419688993,0.3567770784545695,0.354893336628907,400,0.1,14,1,0.8,1,1,NA,NA,5,pass2
Hideaway,max,A,RFR,1.1109943084381233,0.8381555000519294,0.7557173270548795,0.7509774603564492,NA,NA,NA,NA,NA,NA,NA,7,3,5,orig
Hideaway,max,A,XGB,1.0555431768001726,0.7984507743030337,0.7764072689096236,0.7752151718083835,400,0.05,6,4,0.8,0.8,1,NA,NA,5,orig
Hideaway,max,B,RFR,1.126071310017745,0.8826677203585966,0.7832094193774204,0.781116124568923,NA,NA,NA,NA,NA,NA,NA,4,15,5,pass2
Hideaway,max,B,XGB,1.1223032308096106,0.8866732628431597,0.7830969337435534,0.7825785396751714,800,0.05,12,3,0.8,0.8,1,NA,NA,5,pass2
Hideaway,mean,A,RFR,0.5037552854968224,0.4057858607738688,0.843041977800336,0.8340648051204878,NA,NA,NA,NA,NA,NA,NA,7,1,5,orig
Hideaway,mean,A,XGB,0.494233052913717,0.3887480468242396,0.8406248543569721,0.8402786946706086,800,0.1,6,1,0.8,1,0.1,NA,NA,5,pass2
Hideaway,mean,B,RFR,0.5112474411762118,0.413881155228637,0.8524730067630568,0.8482467743125479,NA,NA,NA,NA,NA,NA,NA,3,10,5,orig
Hideaway,mean,B,XGB,0.4987505983179394,0.40425647930641545,0.8556646963546534,0.8555749601831619,400,0.05,6,1,0.9,0.8,0.1,NA,NA,5,orig
Hideaway,range,A,RFR,1.119918081423876,0.8725289697688454,0.7094192085964768,0.7084717877131355,NA,NA,NA,NA,NA,NA,NA,7,3,5,orig
Hideaway,range,A,XGB,1.0600799826743998,0.8187190789840161,0.739409067287118,0.7387926795012147,800,0.1,9,3,0.8,0.8,0.05,NA,NA,5,pass2
Hideaway,range,B,RFR,1.1864733005150323,0.9377721925787033,0.7180404834894404,0.7166723531260966,NA,NA,NA,NA,NA,NA,NA,3,20,5,pass2
Hideaway,range,B,XGB,1.1838371962354965,0.929882656783391,0.7185632059215329,0.7179299482399895,800,0.1,14,2,0.8,0.8,2,NA,NA,5,pass2
Pint,max,A,RFR,0.5222313633968598,0.39809183606557114,0.8401266801511849,0.8398803866351063,NA,NA,NA,NA,NA,NA,NA,7,1,4,pass2
Pint,max,A,XGB,0.5014962705770472,0.38165222424366424,0.8542521718452083,0.8523429977131721,1000,0.05,11,1,0.8,1,0,NA,NA,4,pass2
Pint,max,B,RFR,0.6442059716599591,0.4834838092896178,0.7586692143944057,0.7563490413619339,NA,NA,NA,NA,NA,NA,NA,2,3,4,pass2
Pint,max,B,XGB,0.6064040324786244,0.45639205119648907,0.7869170361076864,0.7841048963158369,1000,0.1,7,3,0.8,0.8,0.05,NA,NA,4,pass2
