Site,Metric,Set,Model,RMSE,MAE,R2,NSE,n_pred,n_oof,n_resamples,rmse_mean,rmse_sd,na_RMSE,na_R2,nrounds,max_depth,eta,gamma,colsample_bytree,min_child_weight,subsample,mtry,splitrule,min.node.size,edge_hit,retune
Anvil,max,A,RFR,1.365039828925233,1.027184476229507,0.7565689048458717,0.7501963234213412,8,244,5,1.331615365058324,0.3772000595533662,0,0,NA,NA,NA,NA,NA,NA,NA,3,variance,2,FALSE,FALSE
Anvil,max,A,XGB,1.2460623899002534,0.893076204987823,0.7924614842493599,0.7918445649796012,8,244,5,1.2364465404945142,0.21081980169448175,0,0,400,9,0.1,1,0.8,1,0.9,NA,NA,NA,TRUE,TRUE
Anvil,max,B,RFR,2.054684840289321,1.6775670812256054,0.43807211706022886,0.4340232218007941,4,244,5,2.025480421382008,0.45644319074531287,0,0,NA,NA,NA,NA,NA,NA,NA,2,variance,5,FALSE,FALSE
Anvil,max,B,XGB,1.9929498700017887,1.5703842479205523,0.47946039729126433,0.4675229076435182,4,244,5,1.968733232538992,0.41809784695812485,0,0,400,9,0.05,1,1,4,0.9,NA,NA,NA,TRUE,TRUE
Anvil,mean,A,RFR,0.9708724668845472,0.7625270037581954,0.7832503836465978,0.7804610167498924,8,244,5,0.9512201280595447,0.24483874774628714,0,0,NA,NA,NA,NA,NA,NA,NA,4,variance,2,FALSE,FALSE
Anvil,mean,A,XGB,0.8191715583377145,0.6316102044336287,0.8439973395426558,0.8437079063920542,8,244,5,0.812039995098481,0.1273096784488032,0,0,400,9,0.1,0,1,1,0.8,NA,NA,NA,TRUE,TRUE
Anvil,mean,B,RFR,1.4522436332408892,1.203424903527517,0.5129454187555023,0.5087910844057228,4,244,5,1.439568700193116,0.2607334607391996,0,0,NA,NA,NA,NA,NA,NA,NA,2,variance,7,FALSE,FALSE
Anvil,mean,B,XGB,1.4527102438867,1.1976866722298294,0.5247796593662438,0.508475379621795,4,244,5,1.4421234404567895,0.24477556133182013,0,0,400,12,0.05,1,0.8,4,0.8,NA,NA,NA,TRUE,TRUE
Anvil,range,A,RFR,0.8846942060467495,0.6112205351092894,0.6976811177465537,0.6916039907456849,8,244,5,0.8645599619935365,0.23236274892629183,0,0,NA,NA,NA,NA,NA,NA,NA,6,variance,7,TRUE,TRUE
Anvil,range,A,XGB,0.9129856255301704,0.6148148622200137,0.6733834158896036,0.671564371409972,8,244,5,0.887397639783324,0.2606760247957771,0,0,800,6,0.05,1,1,1,0.8,NA,NA,NA,TRUE,TRUE
Anvil,range,B,RFR,1.284968033580712,0.97377815807312,0.3532862314157688,0.3494105282837815,4,244,5,1.262076919670369,0.2980216133335863,0,0,NA,NA,NA,NA,NA,NA,NA,2,variance,10,FALSE,FALSE
Anvil,range,B,XGB,1.281103963739854,0.9551555041797826,0.3685150827775652,0.3533174633049433,4,244,5,1.2546672619496768,0.3133294028854642,0,0,400,6,0.1,1,0.8,4,0.9,NA,NA,NA,TRUE,TRUE
Butte,max,A,RFR,0.8961829212391201,0.6654433064207643,0.7560374159481091,0.7442917694670581,9,244,5,0.880496060270586,0.2154944757414995,0,0,NA,NA,NA,NA,NA,NA,NA,6,variance,7,TRUE,TRUE
Butte,max,A,XGB,0.8105747050909936,0.6057288960316142,0.794750858049009,0.7908116595849808,9,244,5,0.7926587108191243,0.20643340219895645,0,0,400,9,0.1,1,1,1,0.9,NA,NA,NA,TRUE,TRUE
Butte,max,B,RFR,0.7836652964846539,0.6038126106557387,0.8079485971166811,0.8044703554813672,4,244,5,0.7722837404827358,0.1466515436042922,0,0,NA,NA,NA,NA,NA,NA,NA,3,variance,2,TRUE,TRUE
Butte,max,B,XGB,0.7130290574051217,0.5458532152332243,0.8396671416226371,0.83813019714551,4,244,5,0.7012384728321815,0.14198710824989105,0,0,800,12,0.05,1,1,4,0.8,NA,NA,NA,TRUE,TRUE
Butte,mean,A,RFR,0.6647215226715258,0.514453411841531,0.8129169813226572,0.8006997621804571,10,244,5,0.6597046940241033,0.1002262022672919,0,0,NA,NA,NA,NA,NA,NA,NA,4,variance,5,FALSE,FALSE
Butte,mean,A,XGB,0.5946763815657334,0.44412656490763674,0.8421151424963964,0.8404893386204709,10,244,5,0.592283680082557,0.06369910725519623,0,0,400,6,0.05,0,0.8,4,0.8,NA,NA,NA,TRUE,TRUE
Butte,mean,B,RFR,0.6660753226901966,0.5139150091106557,0.8031682675445706,0.7998871288823823,5,244,5,0.6606461963866581,0.09255130848030456,0,0,NA,NA,NA,NA,NA,NA,NA,3,variance,5,FALSE,FALSE
Butte,mean,B,XGB,0.6324449193925076,0.48229140610241494,0.8198869104962262,0.8195845393364838,5,244,5,0.627190230032056,0.08573520507123289,0,0,400,12,0.1,1,0.8,1,0.9,NA,NA,NA,TRUE,TRUE
Butte,range,A,RFR,0.6128298792044558,0.4820808241738227,0.7513985757909041,0.748822802878505,9,244,5,0.6007777076284121,0.13935680202208814,0,0,NA,NA,NA,NA,NA,NA,NA,6,variance,10,TRUE,TRUE
Butte,range,A,XGB,0.6079906499023179,0.4765398841666394,0.7535874139555757,0.7527739970403358,9,244,5,0.5994086166101659,0.11351247350348155,0,0,400,12,0.1,1,0.8,4,0.8,NA,NA,NA,TRUE,TRUE
Butte,range,B,RFR,0.680808933528861,0.5273408792573093,0.6906547741568931,0.6900077485706342,4,244,5,0.6708449755780445,0.12993933242631633,0,0,NA,NA,NA,NA,NA,NA,NA,2,variance,15,TRUE,TRUE
Butte,range,B,XGB,0.6924206583654104,0.5366625974530079,0.6802698127227009,0.6793432550219007,4,244,5,0.6835973157788212,0.1252260808116637,0,0,400,9,0.05,1,1,1,0.9,NA,NA,NA,TRUE,TRUE
Cooper,max,A,RFR,1.1860391471378124,0.87173804489447,0.45601898471172,0.4539914569748494,4,199,5,1.172312187159173,0.2425207544007008,0,0,NA,NA,NA,NA,NA,NA,NA,3,variance,1,TRUE,TRUE
Cooper,max,A,XGB,1.1557248647137557,0.8462674138744872,0.49423647648450814,0.4815459109937162,4,199,5,1.1289290647369248,0.23784866715253716,0,0,400,6,0.05,1,0.8,1,0.9,NA,NA,NA,TRUE,TRUE
Cooper,max,B,RFR,1.1860391471378124,0.87173804489447,0.45601898471172,0.4539914569748494,4,199,5,1.172312187159173,0.2425207544007008,0,0,NA,NA,NA,NA,NA,NA,NA,3,variance,1,TRUE,TRUE
Cooper,max,B,XGB,1.1557248647137557,0.8462674138744872,0.49423647648450814,0.4815459109937162,4,199,5,1.1289290647369248,0.23784866715253716,0,0,400,6,0.05,1,0.8,1,0.9,NA,NA,NA,TRUE,TRUE
Cooper,mean,A,RFR,0.5144106384539013,0.40325876658626514,0.6213669652840118,0.620968226875062,4,199,5,0.5168711548197411,0.098621248829906,0,0,NA,NA,NA,NA,NA,NA,NA,3,variance,3,TRUE,TRUE
Cooper,mean,A,XGB,0.49673645789101184,0.38601567407563936,0.6466781284708478,0.646566422903146,4,199,5,0.4982318187925156,0.06198053777263151,0,0,800,12,0.1,1,1,1,0.9,NA,NA,NA,TRUE,TRUE
Cooper,mean,B,RFR,0.5144106384539013,0.40325876658626514,0.6213669652840118,0.620968226875062,4,199,5,0.5168711548197411,0.098621248829906,0,0,NA,NA,NA,NA,NA,NA,NA,3,variance,3,TRUE,TRUE
Cooper,mean,B,XGB,0.49673645789101184,0.38601567407563936,0.6466781284708478,0.646566422903146,4,199,5,0.4982318187925156,0.06198053777263151,0,0,800,12,0.1,1,1,1,0.9,NA,NA,NA,TRUE,TRUE
Cooper,range,A,RFR,1.2574100876571526,0.9770265724006024,0.3535754262827098,0.3522228515863617,5,199,5,1.252845023372545,0.14319956245578688,0,0,NA,NA,NA,NA,NA,NA,NA,1,variance,1,TRUE,TRUE
Cooper,range,A,XGB,1.3384578282169108,1.011955217552147,0.298799158927516,0.26602523730986793,5,199,5,1.333708275667033,0.15304066797241742,0,0,400,12,0.1,1,0.8,1,0.8,NA,NA,NA,TRUE,TRUE
Cooper,range,B,RFR,1.2574100876571526,0.9770265724006024,0.3535754262827098,0.3522228515863617,5,199,5,1.252845023372545,0.14319956245578688,0,0,NA,NA,NA,NA,NA,NA,NA,1,variance,1,TRUE,TRUE
Cooper,range,B,XGB,1.3384578282169108,1.011955217552147,0.298799158927516,0.26602523730986793,5,199,5,1.333708275667033,0.15304066797241742,0,0,400,12,0.1,1,0.8,1,0.8,NA,NA,NA,TRUE,TRUE
Crater,max,A,RFR,0.8596064540431841,0.6444805720338982,0.8703053684487441,0.8645809161670225,8,236,5,0.8175013808712208,0.3008848028975675,0,0,NA,NA,NA,NA,NA,NA,NA,6,variance,3,TRUE,TRUE
Crater,max,A,XGB,0.8257343818718178,0.6261194897344556,0.8796559872867662,0.8750428036779215,8,236,5,0.7817784174557141,0.29599831758846046,0,0,800,6,0.05,0,0.8,4,0.9,NA,NA,NA,TRUE,TRUE
Crater,max,B,RFR,1.4291174684938242,1.1423362924863416,0.6582914782659914,0.6562577681210919,4,244,5,1.3894630139809463,0.41251943516247164,0,0,NA,NA,NA,NA,NA,NA,NA,2,variance,2,FALSE,FALSE
Crater,max,B,XGB,1.381090296271468,1.063294964180618,0.6791488407541881,0.6789732776608564,4,244,5,1.3557914475111728,0.3344635432458336,0,0,400,9,0.05,0,0.8,4,0.8,NA,NA,NA,TRUE,TRUE
Crater,mean,A,RFR,0.9086956531287044,0.7001000489788144,0.8558057533089098,0.8484923202375734,8,236,5,0.8554815342412333,0.34667230995742665,0,0,NA,NA,NA,NA,NA,NA,NA,6,variance,2,TRUE,TRUE
Crater,mean,A,XGB,0.80352710698484,0.6269863281058617,0.8892851823026476,0.8815326126448175,8,236,5,0.7694875802280721,0.26068411487826376,0,0,800,9,0.1,0,0.8,4,0.8,NA,NA,NA,TRUE,TRUE
Crater,mean,B,RFR,1.406712010124255,1.110745685528688,0.6665108629209442,0.6650207881231918,4,244,5,1.3702966818474833,0.37841119010097785,0,0,NA,NA,NA,NA,NA,NA,NA,3,variance,3,TRUE,TRUE
Crater,mean,B,XGB,1.348420942074853,1.0566867060631924,0.6922394737272409,0.6922072092290313,4,244,5,1.3205720929540947,0.33935252141579253,0,0,800,9,0.05,1,0.8,4,0.8,NA,NA,NA,TRUE,TRUE
Crater,range,A,RFR,0.24802797850943967,0.19088263201450148,0.610533467557451,0.6095497980759454,8,236,5,0.24509656175182662,0.04025466548263714,0,0,NA,NA,NA,NA,NA,NA,NA,2,variance,3,FALSE,FALSE
Crater,range,A,XGB,0.24016428202284237,0.18192938072550097,0.6401083361404504,0.6339156688916464,8,236,5,0.23777224618342938,0.035338937990628407,0,0,400,9,0.1,0.1,1,4,0.8,NA,NA,NA,TRUE,TRUE
Crater,range,B,RFR,0.31435021446402733,0.24858988416161693,0.3656488968215193,0.3622633564621395,4,244,5,0.313055372825036,0.032304712572029014,0,0,NA,NA,NA,NA,NA,NA,NA,1,variance,3,TRUE,TRUE
Crater,range,B,XGB,0.3129563811498158,0.2495343516859852,0.3681344264250886,0.3679062849170008,4,244,5,0.3108942307860027,0.037573715525531154,0,0,400,12,0.1,1,1,1,0.8,NA,NA,NA,TRUE,TRUE
Hideaway,max,A,RFR,1.0922005310773188,0.8258054444889291,0.7669683200449084,0.759331219955481,9,199,5,1.082314073520668,0.2206718846533634,0,0,NA,NA,NA,NA,NA,NA,NA,6,variance,10,TRUE,TRUE
Hideaway,max,A,XGB,1.0341095459250105,0.7963737630958748,0.7848412113164637,0.7842513514048115,9,199,5,1.019710644723378,0.2544975703378269,0,0,400,9,0.05,1,1,4,0.8,NA,NA,NA,TRUE,TRUE
Hideaway,max,B,RFR,1.1222715269228376,0.8804207314688867,0.7853355527508011,0.7825908233571737,4,206,5,1.1122202149826617,0.18482495558577028,0,0,NA,NA,NA,NA,NA,NA,NA,3,variance,15,TRUE,TRUE
Hideaway,max,B,XGB,1.114086861960049,0.8855150232160253,0.7863750915571072,0.7857503665105829,4,206,5,1.103873644169116,0.17795776101667557,0,0,400,9,0.05,0,0.8,1,0.9,NA,NA,NA,TRUE,TRUE
Hideaway,mean,A,RFR,0.5158374512774023,0.41184736815242967,0.8376788949981306,0.8260097076223373,9,199,5,0.5170046717752641,0.09374471542412059,0,0,NA,NA,NA,NA,NA,NA,NA,6,variance,3,TRUE,TRUE
Hideaway,mean,A,XGB,0.4750037555852506,0.3713981382570506,0.8528184117474004,0.8524655762621337,9,199,5,0.4661696692030867,0.09846758055732859,0,0,800,12,0.1,0,1,1,0.8,NA,NA,NA,TRUE,TRUE
Hideaway,mean,B,RFR,0.5193504737608838,0.41854677941747687,0.8465536264755881,0.8433982175826414,4,206,5,0.5184714243252593,0.04935510530675694,0,0,NA,NA,NA,NA,NA,NA,NA,3,variance,2,TRUE,TRUE
Hideaway,mean,B,XGB,0.5084653875007653,0.41425327072010226,0.8506075987513353,0.8498938707369464,4,206,5,0.505515791068671,0.045471549528736284,0,0,800,12,0.1,0,1,1,0.9,NA,NA,NA,TRUE,TRUE
Hideaway,range,A,RFR,1.119918081423876,0.8725289697688454,0.7094192085964768,0.7084717877131355,10,199,5,1.1255327817839271,0.20133074650025395,0,0,NA,NA,NA,NA,NA,NA,NA,7,variance,3,TRUE,TRUE
Hideaway,range,A,XGB,1.0426974875022097,0.8062465804691027,0.7473232226869773,0.747288660042287,10,199,5,1.0422882859366032,0.15698326255223188,0,0,800,9,0.1,0,0.8,4,0.8,NA,NA,NA,TRUE,TRUE
