Site,Metric,Set,Model,RMSE_p2,MAE_p2,R2_p2,NSE_p2,n_resamples_p2,grid_rows_p2,pass2_file,RMSE,MAE,R2,NSE,n_resamples,dRMSE,dMAE,dR2,dNSE
Anvil,max,A,XGB,1.36677279248296,0.9567118466799376,0.7507588626939123,0.7495616526229789,5,6,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Anvil_max_A_xgb_pass2.rds,1.339034765386112,0.9375761891349418,0.7605124090261568,0.7596235678239375,5,0.027738027096847917,0.0191356575449958,-0.009753546332244456,-0.01006191520095856
Anvil,range,A,XGB,0.944996828224633,0.6755512357031713,0.6505384421545979,0.6481293160869093,5,18,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Anvil_range_A_xgb_pass2.rds,0.9431406929698828,0.6620518136200357,0.6497531639917483,0.6495102268853452,5,0.0018561352547502574,0.013499422083135593,7.852781628495675e-4,-0.0013809107984359414
Anvil,range,B,XGB,1.288683176993239,0.9524501460839491,0.35884418813481817,0.3456430769056076,5,24,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Anvil_range_B_xgb_pass2.rds,1.2778369649674834,0.948814351111162,0.3648320127744598,0.356611524138694,5,0.01084621202575553,0.0036357949727870986,-0.005987824639641648,-0.010968447233086431
Butte,max,A,XGB,0.7557425626247622,0.5804514019762884,0.8195679072124209,0.8181559294700103,5,18,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Butte_max_A_xgb_pass2.rds,0.7574439756507019,0.5867355347930407,0.8194407081209918,0.8173362319841956,5,-0.0017014130259396243,-0.00628413281675233,1.271990914291088e-4,8.196974858146744e-4
Butte,max,B,RFR,0.7841306541501551,0.5977358770491817,0.8073776188149526,0.8042380669377507,5,2,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Butte_max_B_rfr_pass2.rds,0.7806562819628478,0.5974928442622962,0.8094857015772989,0.8059690105963997,5,0.003474372187307395,2.430327868855331e-4,-0.0021080827623463083,-0.001730943658649009
Butte,max,B,XGB,0.7125303217162401,0.5593283809599329,0.8383965997128733,0.8383565610306458,5,12,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Butte_max_B_xgb_pass2.rds,0.7045013634225069,0.5539711385945805,0.8422380422765158,0.8419789088058427,5,0.00802895829373318,0.005357242365352399,-0.0038414425636424943,-0.003622347775196877
Butte,mean,A,XGB,0.5840221997977975,0.44995571181625615,0.8480829412127724,0.8461537031957059,5,12,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Butte_mean_A_xgb_pass2.rds,0.5629394570488415,0.43244073776495257,0.8581275164662782,0.8570606788685087,5,0.02108274274895594,0.01751497405130359,-0.010044575253505772,-0.010906975672802743
Butte,mean,B,XGB,0.6481800290120958,0.4912352791470387,0.8112406105373322,0.810495456398436,5,8,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Butte_mean_B_xgb_pass2.rds,0.6324449193925076,0.48229140610241494,0.8198869104962262,0.8195845393364838,5,0.01573510961958824,0.00894387304462374,-0.008646299958893988,-0.009089082938047777
Butte,range,A,RFR,0.6130783134195162,0.4802621264687135,0.7513737418688164,0.7486191128814821,5,2,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Butte_range_A_rfr_pass2.rds,0.6100503147016075,0.4810725039855183,0.7535757927293076,0.7510961251904584,5,0.0030279987179087087,-8.103775168047944e-4,-0.0022020508604911893,-0.002477012308976345
Butte,range,B,RFR,0.6881695759400625,0.5349878211526009,0.683708053241377,0.6832684810438158,5,2,C:/Users/mbkro/OneDrive/Documents/wetland-ml-models/results/local_results_pass2/Butte_range_B_rfr_pass2.rds,0.6862438475541569,0.5326988627748163,0.68538330854399665,0.6850386420380916,5,0.0019257283859055452,0.0022889583777846445,-0.0016752553026196937,-0.001770160994275849
