Site,Metric,Set,Model,source,Variable,Importance,Stderr,nsim,type
Anvil,max,A,GLS,gls,GWT_min_7day,1.01624277506186,NA,20,cpi
Anvil,max,A,GLS,gls,GWL_max_7day,0.3267655713843094,NA,20,cpi
Anvil,max,A,GLS,gls,Air_tmin_7day,0.25563629620075456,NA,20,cpi
Anvil,max,A,GLS,gls,Air_trange,0.0541865047894462,NA,20,cpi
Anvil,max,A,GLS,gls,ppt,0.029797030063780983,NA,20,cpi
Anvil,max,A,GLS,gls,WL_daily_range,0.003592013815456596,NA,20,cpi
Anvil,max,A,GLS,gls,GWT_range,-4.0667304885300126e-4,NA,20,cpi
Anvil,max,A,RFR,orig,GWL_max_7day,1.4262748860257526,NA,20,cpi
Anvil,max,A,RFR,orig,GWT_min_7day,1.07225067445668,NA,20,cpi
Anvil,max,A,RFR,orig,Solar_3d,0.8259134699563953,NA,20,cpi
Anvil,max,A,RFR,orig,WL_daily_range,0.7393924009498528,NA,20,cpi
Anvil,max,A,RFR,orig,Air_tmin_7day,0.3358005482313057,NA,20,cpi
Anvil,max,A,RFR,orig,Air_trange,0.1925753729907767,NA,20,cpi
Anvil,max,A,RFR,orig,GWT_range,0.12053805533160336,NA,20,cpi
Anvil,max,A,RFR,orig,ppt,0.10578769757077558,NA,20,cpi
Anvil,max,A,XGB,orig,GWL_max_7day,1.6543508595660996,NA,20,cpi
Anvil,max,A,XGB,orig,GWT_min_7day,1.0661438512987278,NA,20,cpi
Anvil,max,A,XGB,orig,WL_daily_range,0.9884176552277891,NA,20,cpi
Anvil,max,A,XGB,orig,Solar_3d,0.7514658108309015,NA,20,cpi
Anvil,max,A,XGB,orig,Air_tmin_7day,0.45779178849839786,NA,20,cpi
Anvil,max,A,XGB,orig,ppt,0.15611442756366437,NA,20,cpi
Anvil,max,A,XGB,orig,Air_trange,0.12868965393937326,NA,20,cpi
Anvil,max,A,XGB,orig,GWT_range,0.10355459115040366,NA,20,cpi
Anvil,max,B,GLS,gls,Solar_3d,0.5869364083676638,NA,20,cpi
Anvil,max,B,GLS,gls,Air_trange,0.003737173927119919,NA,20,cpi
