Site,Metric,Set,Model,source,Variable,Importance,Stderr,nsim,type
Anvil,max,A,GLS,gls,GWT_min_7day,1.01624277506186,0.06480059156835595,20,cpi
Anvil,max,A,GLS,gls,GWL_max_7day,0.3267655713843094,0.04007237398267235,20,cpi
Anvil,max,A,GLS,gls,Air_tmin_7day,0.25563629620075456,0.03464926534432791,20,cpi
Anvil,max,A,GLS,gls,Air_trange,0.0541865047894462,0.00880958795910768,20,cpi
Anvil,max,A,GLS,gls,ppt,0.02979703006378098,0.0057499376885862,20,cpi
Anvil,max,A,GLS,gls,WL_daily_range,0.00359201381545659,8.428025964094307e-4,20,cpi
Anvil,max,A,GLS,gls,GWT_range,-4.0667304885300126e-4,0.0019135334427708,20,cpi
Anvil,max,A,RFR,orig,GWL_max_7day,1.4262748860257526,0.08252244984452652,20,cpi
Anvil,max,A,RFR,orig,GWT_min_7day,1.07225067445668,0.0506536585006895,20,cpi
Anvil,max,A,RFR,orig,Solar_3d,0.8259134699563953,0.05477349946111311,20,cpi
Anvil,max,A,RFR,orig,WL_daily_range,0.7393924009498528,0.05292095735474018,20,cpi
Anvil,max,A,RFR,orig,Air_tmin_7day,0.3358005482313057,0.02442481428944514,20,cpi
Anvil,max,A,RFR,orig,Air_trange,0.1925753729907767,0.01329466861261471,20,cpi
Anvil,max,A,RFR,orig,GWT_range,0.12053805533160336,0.01062078081441191,20,cpi
Anvil,max,A,RFR,orig,ppt,0.10578769757077558,0.0165548652556898,20,cpi
Anvil,max,A,XGB,orig,GWL_max_7day,1.6543508595660996,0.07546159606821165,20,cpi
Anvil,max,A,XGB,orig,GWT_min_7day,1.0661438512987278,0.06265762270891004,20,cpi
Anvil,max,A,XGB,orig,WL_daily_range,0.9884176552277892,0.04538933392563935,20,cpi
Anvil,max,A,XGB,orig,Solar_3d,0.7514658108309015,0.03165410890137051,20,cpi
Anvil,max,A,XGB,orig,Air_tmin_7day,0.45779178849839786,0.02920242996236165,20,cpi
Anvil,max,A,XGB,orig,ppt,0.15611442756366437,0.02391501011734596,20,cpi
Anvil,max,A,XGB,orig,Air_trange,0.12868965393937326,0.01514312656599074,20,cpi
Anvil,max,A,XGB,orig,GWT_range,0.10355459115040366,0.01050119030925669,20,cpi
Anvil,max,B,GLS,gls,Solar_3d,0.5869364083676638,0.04785793663770903,20,cpi
Anvil,max,B,GLS,gls,Air_trange,0.00373717392711991,0.00151935512571595,20,cpi
Anvil,max,B,GLS,gls,ppt,-0.00236772585664213,0.00559856697412074,20,cpi
Anvil,max,B,GLS,gls,Air_tmin_7day,-0.04659585527592158,0.02010274311900309,20,cpi
Anvil,max,B,RFR,orig,Solar_3d,2.373110725663308,0.11279067070638864,20,cpi
Anvil,max,B,RFR,orig,Air_tmin_7day,0.9470605669151868,0.07452384826936241,20,cpi
Anvil,max,B,RFR,orig,Air_trange,0.5710481289599546,0.02932231841205029,20,cpi
Anvil,max,B,RFR,orig,ppt,0.14862849656590177,0.01717117097138961,20,cpi
Anvil,max,B,XGB,orig,Solar_3d,3.003295557362294,0.10343652791299436,20,cpi
Anvil,max,B,XGB,orig,Air_tmin_7day,1.4096396868496246,0.07554878190355517,20,cpi
Anvil,max,B,XGB,orig,Air_trange,0.6897643498384893,0.02835829196044675,20,cpi
Anvil,max,B,XGB,orig,ppt,0.1402696668733347,0.01629241590615733,20,cpi
Anvil,mean,A,GLS,gls,GWT_min_7day,0.5689810381532805,0.05468697489357214,20,cpi
Anvil,mean,A,GLS,gls,Air_tmin,0.1892006097155924,0.02983714207300052,20,cpi
Anvil,mean,A,GLS,gls,GWL_max_7day,0.12254831908036234,0.01461707704709991,20,cpi
Anvil,mean,A,GLS,gls,Air_trange,0.0776749985078572,0.01290590303058167,20,cpi
Anvil,mean,A,GLS,gls,GWL_range,0.02076024140008059,0.0036592767516002,20,cpi
Anvil,mean,A,GLS,gls,ppt,0.01827137965985537,0.00670536456959517,20,cpi
Anvil,mean,A,GLS,gls,GWT_range,-7.622680693636363e-4,0.00167411008947014,20,cpi
Anvil,mean,A,RFR,orig,GWL_max_7day,1.3487208016261871,0.05109011768941191,20,cpi
Anvil,mean,A,RFR,orig,Solar_3d,0.6820502844104954,0.03527156523201194,20,cpi
Anvil,mean,A,RFR,orig,GWT_min_7day,0.675243617571212,0.02893602479449626,20,cpi
Anvil,mean,A,RFR,orig,Air_tmin,0.46565054874130674,0.02380017870796999,20,cpi
Anvil,mean,A,RFR,orig,GWL_range,0.36866733524098105,0.02281747316537801,20,cpi
Anvil,mean,A,RFR,orig,ppt,0.11532565865929896,0.0130307061532271,20,cpi
Anvil,mean,A,RFR,orig,Air_trange,0.1141024077678981,0.00702610488519476,20,cpi
Anvil,mean,A,RFR,orig,GWT_range,0.09698650626772,0.01038456182533827,20,cpi
Anvil,mean,A,XGB,orig,GWL_max_7day,1.7152656155289718,0.08202832924637413,20,cpi
Anvil,mean,A,XGB,orig,GWT_min_7day,1.2192969318457143,0.05256303702222596,20,cpi
Anvil,mean,A,XGB,orig,Air_tmin,0.7275386033889094,0.03062703969996334,20,cpi
Anvil,mean,A,XGB,orig,Solar_3d,0.6464943232190531,0.02855985915088261,20,cpi
Anvil,mean,A,XGB,orig,GWL_range,0.6318909732335066,0.04357769192242962,20,cpi
Anvil,mean,A,XGB,orig,Air_trange,0.2285287633187538,0.01364119540008422,20,cpi
Anvil,mean,A,XGB,orig,ppt,0.19585529755115305,0.0094186866701877,20,cpi
Anvil,mean,A,XGB,orig,GWT_range,0.1886616971819816,0.01059744927658499,20,cpi
Anvil,mean,B,GLS,gls,Solar_3d,0.27789824622231185,0.01825003324665904,20,cpi
Anvil,mean,B,GLS,gls,Air_tmin,0.03635894620472946,0.02827066409038293,20,cpi
Anvil,mean,B,GLS,gls,Air_trange,0.02322329931442712,0.00944821841905305,20,cpi
Anvil,mean,B,GLS,gls,ppt,0.00166949731566168,0.00424765127174098,20,cpi
Anvil,mean,B,RFR,orig,Solar_3d,1.8958566814007023,0.08461586111239072,20,cpi
Anvil,mean,B,RFR,orig,Air_tmin,0.517455927229121,0.03345039668793578,20,cpi
Anvil,mean,B,RFR,orig,Air_trange,0.3525947602329671,0.02142126066849961,20,cpi
Anvil,mean,B,RFR,orig,ppt,0.19294110440191892,0.02219991221173141,20,cpi
Anvil,mean,B,XGB,pass2,Solar_3d,2.1294896689564395,0.07168283693267816,20,cpi
Anvil,mean,B,XGB,pass2,Air_tmin,0.5643150461554879,0.03483800617141641,20,cpi
Anvil,mean,B,XGB,pass2,Air_trange,0.32050672628680615,0.02689285456713045,20,cpi
Anvil,mean,B,XGB,pass2,ppt,0.2646059442768029,0.02690821758685837,20,cpi
Anvil,range,A,GLS,gls,Solar_daily,0.34270833820808433,0.03021020222158376,20,cpi
Anvil,range,A,GLS,gls,GWT_min_7day,0.16445710852203077,0.02357209314651313,20,cpi
Anvil,range,A,GLS,gls,GWL_max_7day,0.0370218053544431,0.01165797819959785,20,cpi
Anvil,range,A,GLS,gls,ppt_7day,0.00653480352424373,0.00302862088859133,20,cpi
Anvil,range,A,GLS,gls,Air_tmean_7day,0.00575250842104446,0.01348136061200556,20,cpi
Anvil,range,A,GLS,gls,Air_trange,0.00295642767312565,0.0018080132758707,20,cpi
Anvil,range,A,GLS,gls,GWT_range,-0.00133762373883727,0.00102936993712698,20,cpi
Anvil,range,A,GLS,gls,WL_daily_range,-0.02081929863320097,0.003328079342352,20,cpi
Anvil,range,A,RFR,pass2,WL_daily_range,0.8567153770432412,0.0629645812887308,20,cpi
Anvil,range,A,RFR,pass2,Solar_daily,0.768501081157372,0.03633226391766766,20,cpi
Anvil,range,A,RFR,pass2,GWL_max_7day,0.49904348291422057,0.03383581751430507,20,cpi
Anvil,range,A,RFR,pass2,GWT_min_7day,0.2692303460410885,0.01932704205296137,20,cpi
Anvil,range,A,RFR,pass2,ppt_7day,0.1669837106912092,0.02109184131100074,20,cpi
Anvil,range,A,RFR,pass2,Air_tmean_7day,0.07565526813622384,0.00622275160465786,20,cpi
Anvil,range,A,RFR,pass2,Air_trange,0.07025112480001977,0.00623266565264643,20,cpi
Anvil,range,A,RFR,pass2,GWT_range,0.05297615654193108,0.00637381644160429,20,cpi
Anvil,range,A,XGB,pass2,Solar_daily,0.7791860633888706,0.04941236640599193,20,cpi
Anvil,range,A,XGB,pass2,WL_daily_range,0.7033701429053343,0.05695450779926563,20,cpi
Anvil,range,A,XGB,pass2,GWL_max_7day,0.32939346665732566,0.03024826370360146,20,cpi
Anvil,range,A,XGB,pass2,GWT_min_7day,0.32184510122059795,0.02543379121500205,20,cpi
Anvil,range,A,XGB,pass2,ppt_7day,0.1308252319379843,0.01892836461688114,20,cpi
Anvil,range,A,XGB,pass2,Air_trange,0.0789123740851917,0.00944031365767384,20,cpi
Anvil,range,A,XGB,pass2,Air_tmean_7day,0.06046300657643722,0.00887234388264558,20,cpi
Anvil,range,A,XGB,pass2,GWT_range,0.02067164899416468,0.00544000047566116,20,cpi
Anvil,range,B,GLS,gls,Solar_daily,0.40269766633401183,0.0414506400400608,20,cpi
Anvil,range,B,GLS,gls,Air_tmean_7day,0.08930228361966663,0.02635007512963898,20,cpi
Anvil,range,B,GLS,gls,Air_trange,0.00742023230364286,0.00282925293059133,20,cpi
Anvil,range,B,GLS,gls,ppt_7day,0.00258416279446693,0.00124661970168909,20,cpi
Anvil,range,B,RFR,orig,Solar_daily,1.0732322536052643,0.07462243179845729,20,cpi
Anvil,range,B,RFR,orig,ppt_7day,0.44275058396140254,0.03172849029399681,20,cpi
Anvil,range,B,RFR,orig,Air_tmean_7day,0.3622589058627826,0.02067759742576563,20,cpi
Anvil,range,B,RFR,orig,Air_trange,0.23397296124395783,0.02086051840712738,20,cpi
Anvil,range,B,XGB,orig,Solar_daily,1.2209705057169309,0.06410628724119574,20,cpi
Anvil,range,B,XGB,orig,ppt_7day,0.598856714396698,0.03440176960678633,20,cpi
Anvil,range,B,XGB,orig,Air_tmean_7day,0.49635360289163954,0.02803175671350001,20,cpi
Anvil,range,B,XGB,orig,Air_trange,0.33642324446769545,0.02188119691770897,20,cpi
Butte,max,A,GLS,gls,Solar_2d,1.107547081664505,0.05129533620814794,20,cpi
Butte,max,A,GLS,gls,Air_tmin,0.7028287563740064,0.03245618021287596,20,cpi
Butte,max,A,GLS,gls,WL_max_2day,0.02603865905580121,0.00826152744273264,20,cpi
Butte,max,A,GLS,gls,GWT_min_7day,0.0208989213821702,0.00836657925724092,20,cpi
Butte,max,A,GLS,gls,Air_trange,0.0027309950171156,0.00164384421576961,20,cpi
Butte,max,A,GLS,gls,WL_daily_range,0.00201236424407647,0.00237110751204746,20,cpi
Butte,max,A,GLS,gls,GWT_range,7.853053209948557e-4,0.00118913063164068,20,cpi
Butte,max,A,GLS,gls,ppt_7day,-0.00177329062332448,0.00119850971614722,20,cpi
Butte,max,A,RFR,orig,Solar_2d,1.1598290921664036,0.04444216004429065,20,cpi
