Site,Metric,Set,Model,source,Variable,Importance,Stderr,nsim,type
Anvil,max,A,GLS,gls,GWT_min_7day,1.0693948334825638,0.06480059156835595,20,permutation
Anvil,max,A,GLS,gls,GWL_max_7day,0.32111355202089853,0.04007237398267235,20,permutation
Anvil,max,A,GLS,gls,Air_tmin_7day,0.26215822660924004,0.03464926534432791,20,permutation
Anvil,max,A,GLS,gls,Air_trange,0.0462519479520779,0.008809587959107688,20,permutation
Anvil,max,A,GLS,gls,ppt,0.03189469733306631,0.005749937688586206,20,permutation
Anvil,max,A,GLS,gls,WL_daily_range,0.003465342445935815,8.428025964094307e-4,20,permutation
Anvil,max,A,GLS,gls,GWT_range,4.555964637443344e-4,0.0019135334427708042,20,permutation
Anvil,max,A,RFR,orig,GWL_max_7day,1.3945805151788075,0.08252244984452652,20,permutation
Anvil,max,A,RFR,orig,GWT_min_7day,1.0604666787385146,0.0506536585006895,20,permutation
Anvil,max,A,RFR,orig,Solar_3d,0.8223627567791093,0.054773499461113116,20,permutation
Anvil,max,A,RFR,orig,WL_daily_range,0.7541087927139088,0.05292095735474018,20,permutation
Anvil,max,A,RFR,orig,Air_tmin_7day,0.3346811305500221,0.024424814289445144,20,permutation
Anvil,max,A,RFR,orig,Air_trange,0.19646192481006905,0.013294668612614715,20,permutation
Anvil,max,A,RFR,orig,GWT_range,0.1258159408792608,0.010620780814411916,20,permutation
Anvil,max,A,RFR,orig,ppt,0.11058612373855016,0.0165548652556898,20,permutation
Anvil,max,A,XGB,orig,GWL_max_7day,1.6161496443274284,0.07546159606821165,20,permutation
Anvil,max,A,XGB,orig,GWT_min_7day,1.0547538284046911,0.06265762270891004,20,permutation
Anvil,max,A,XGB,orig,WL_daily_range,0.9659397084011325,0.04538933392563935,20,permutation
Anvil,max,A,XGB,orig,Solar_3d,0.7307928985696388,0.03165410890137051,20,permutation
Anvil,max,A,XGB,orig,Air_tmin_7day,0.443279706027761,0.029202429962361658,20,permutation
Anvil,max,A,XGB,orig,ppt,0.15975408456910298,0.023915010117345967,20,permutation
Anvil,max,A,XGB,orig,Air_trange,0.11872824874790242,0.01514312656599074,20,permutation
Anvil,max,A,XGB,orig,GWT_range,0.099816803543882393,0.010501190309256692,20,permutation
Anvil,max,B,GLS,gls,Solar_3d,0.6114560299476323,0.04785793663770903,20,permutation
Anvil,max,B,GLS,gls,Air_trange,0.003824551827929046,0.001519355125715955,20,permutation
Anvil,max,B,GLS,gls,ppt,0.0013123502460044012,0.005598566974120748,20,permutation
Anvil,max,B,GLS,gls,Air_tmin_7day,-0.04813072596907868,0.020102743119003095,20,permutation
Anvil,max,B,RFR,orig,Solar_3d,2.382908996501,0.11279067070638864,20,permutation
Anvil,max,B,RFR,orig,Air_tmin_7day,0.9264393544898346,0.07452384826936241,20,permutation
Anvil,max,B,RFR,orig,Air_trange,0.5569752790189862,0.02932231841205029,20,permutation
Anvil,max,B,RFR,orig,ppt,0.15486128325237597,0.017171170971389618,20,permutation
Anvil,max,B,XGB,orig,Solar_3d,2.9984810180361494,0.10343652791299437,20,permutation
Anvil,max,B,XGB,orig,Air_tmin_7day,1.3617827800903186,0.07554878190355517,20,permutation
Anvil,max,B,XGB,orig,Air_trange,0.7076402249359095,0.028358291960446754,20,permutation
Anvil,max,B,XGB,orig,ppt,0.1415888435177126,0.016292415906157334,20,permutation
Anvil,mean,A,GLS,gls,GWT_min_7day,0.5781188962226664,0.054686974893572146,20,permutation
Anvil,mean,A,GLS,gls,Air_tmin,0.20136657093315585,0.029837142073000526,20,permutation
Anvil,mean,A,GLS,gls,GWL_max_7day,0.1213815198818897,0.01461707704709991,20,permutation
Anvil,mean,A,GLS,gls,Air_trange,0.07662127598814931,0.012905903030581672,20,permutation
Anvil,mean,A,GLS,gls,ppt,0.020831856915953118,0.006705364569595176,20,permutation
Anvil,mean,A,GLS,gls,GWL_range,0.018848577110062603,0.003659276751600206,20,permutation
Anvil,mean,A,GLS,gls,GWT_range,-0.0012748652925367089,0.0016741100894701497,20,permutation
Anvil,mean,A,RFR,orig,GWL_max_7day,1.3749174802538469,0.051090117689411914,20,permutation
Anvil,mean,A,RFR,orig,Solar_3d,0.6957620297673832,0.03527156523201194,20,permutation
Anvil,mean,A,RFR,orig,GWT_min_7day,0.6802088647549985,0.028936024794496265,20,permutation
Anvil,mean,A,RFR,orig,Air_tmin,0.454667460072508,0.02380017870796999,20,permutation
Anvil,mean,A,RFR,orig,GWL_range,0.36769286217156927,0.022817473165378018,20,permutation
Anvil,mean,A,RFR,orig,Air_trange,0.11379792807102455,0.007026104885194761,20,permutation
