Site,Metric,Set,Model,source,Variable,Importance,Stderr,nsim,type,kind
Anvil,max,A,GLS,gls,GWT_min_7day,1.0693948334825638,0.06480059156835595,20,permutation,permutation
Anvil,max,A,GLS,gls,GWT_min_7day,1.01624277506186,NA,20,cpi,cpi
Anvil,max,A,GLS,gls,GWL_max_7day,0.3267655713843094,NA,20,cpi,cpi
Anvil,max,A,GLS,gls,GWL_max_7day,0.32111355202089853,0.04007237398267235,20,permutation,permutation
Anvil,max,A,GLS,gls,Air_tmin_7day,0.26215822660924004,0.03464926534432791,20,permutation,permutation
Anvil,max,A,GLS,gls,Air_tmin_7day,0.25563629620075456,NA,20,cpi,cpi
Anvil,max,A,GLS,gls,Air_trange,0.0541865047894462,NA,20,cpi,cpi
Anvil,max,A,GLS,gls,Air_trange,0.0462519479520779,0.008809587959107688,20,permutation,permutation
Anvil,max,A,GLS,gls,ppt,0.03189469733306631,0.005749937688586206,20,permutation,permutation
Anvil,max,A,GLS,gls,ppt,0.029797030063780983,NA,20,cpi,cpi
Anvil,max,A,GLS,gls,WL_daily_range,0.003592013815456596,NA,20,cpi,cpi
Anvil,max,A,GLS,gls,WL_daily_range,0.003465342445935815,8.428025964094307e-4,20,permutation,permutation
Anvil,max,A,GLS,gls,GWT_range,4.555964637443344e-4,0.0019135334427708042,20,permutation,permutation
Anvil,max,A,GLS,gls,GWT_range,-4.0667304885300126e-4,NA,20,cpi,cpi
Anvil,max,A,RFR,orig,GWL_max_7day,1.4262748860257526,NA,20,cpi,cpi
Anvil,max,A,RFR,orig,GWL_max_7day,1.3945805151788075,0.08252244984452652,20,permutation,permutation
Anvil,max,A,RFR,orig,GWT_min_7day,1.07225067445668,NA,20,cpi,cpi
Anvil,max,A,RFR,orig,GWT_min_7day,1.0604666787385146,0.0506536585006895,20,permutation,permutation
Anvil,max,A,RFR,orig,Solar_3d,0.8259134699563953,NA,20,cpi,cpi
Anvil,max,A,RFR,orig,Solar_3d,0.8223627567791093,0.054773499461113116,20,permutation,permutation
