response,set,alg,RMSE,MAE,R2,NSE
max,A,xgb,0.8704367258991146,0.634806123518459,0.8922568447248768,0.8920246113464105
max,A,rfr,0.8825317152719907,0.642357582368168,0.8922136195094443,0.8890030601921374
max,B,xgb,1.3858937864616125,1.0200621263473622,0.719762378830664,0.7195214413027817
max,B,rfr,1.3725471993015603,1.0124010151563547,0.7253313667243906,0.7248976200013546
mean,A,xgb,0.7429361764971529,0.5334837340815292,0.911389116236872,0.9100690805789657
mean,A,rfr,0.7939335771020131,0.5823429537436742,0.9014081326883878,0.8972990738982016
mean,B,xgb,1.0466351221321841,0.7414494426758462,0.8635303915553043,0.863526972155374
mean,B,rfr,1.0212794564545256,0.7414584832019607,0.8705142042410138,0.8700592376871229
range,A,xgb,0.5674223339250024,0.36967660477884157,0.8557983613534161,0.8557531384870228
range,A,rfr,0.5730250347991992,0.37252511027051616,0.8533292864598895,0.8528905019837227
range,B,xgb,0.9290385023688333,0.6551147424909329,0.8560923621174423,0.8559000241185661
range,B,rfr,0.9102268021962459,0.6309890347943076,0.8621627250458892,0.8616765790682971
