response,set,alg,Site,RMSE,MAE,R2,NSE,n_oof
max,A,lme,Anvil,2.5786346790130352,2.1118492574021173,0.1286303500629992,0.06454381710580526,236
max,A,lme,Butte,1.394946906520727,1.1739498675800333,0.6995960847142776,0.380463729868289,244
max,A,lme,Crater,2.17302878307911,1.8355765770773431,0.2644902627324251,0.13461075434684922,236
max,A,lme,Pint,0.921119721021889,0.7453363997178207,0.6260739589032926,0.5018607151316328,122
max,A,lme,Sam,0.5794030049315307,0.45630762971742267,0.5681137190587457,0.5471984474993261,244
max,B,lme,Anvil,2.2707210030649443,1.845235078662753,0.40823163580350025,0.3087490625753839,244
max,B,lme,Butte,1.2386449786591767,0.998322350881944,0.6430811516845362,0.511521927376382,244
max,B,lme,Cooper,1.5402587411866457,1.2863733959463597,0.1554112249949237,0.079150292538542,199
max,B,lme,Crater,1.8694418054190254,1.5857867035668605,0.5684908900636007,0.4118055291783843,244
max,B,lme,Hideaway,1.7104911750621627,1.4349623725844294,0.7807610459295642,0.4949624635553591,206
max,B,lme,Pint,1.060051818038599,0.8869364176495185,0.3620705433930172,0.34025999077265556,122
max,B,lme,Sam,0.837298829228805,0.6951778157473038,0.293777426451488,0.054400163048281436,244
mean,A,lme,Anvil,2.300859880364211,1.889330076745525,0.0097182477751518,-0.30066619346184154,236
mean,A,lme,Butte,1.4267912214841725,1.2497868641432792,0.6453668342978608,0.081774831492189,244
mean,A,lme,Crater,2.4425160815312137,2.062380676653713,0.04722011134481653,-0.09464326622114694,236
mean,A,lme,Pint,1.3740116684274517,1.1950476689210507,0.7422904701995806,0.004537878753780866,122
mean,A,lme,Sam,0.6628963254334754,0.5943388027643547,0.7951507964271443,0.1178243259242,244
mean,B,lme,Anvil,1.9472583008188404,1.5751400090010186,0.23388606896588984,0.11685013655512566,244
mean,B,lme,Butte,1.2829038131263049,1.0806650154869142,0.646594762819958,0.257636642502155,244
mean,B,lme,Cooper,0.856082058839036,0.7327328091818195,0.24414680794538293,-0.04975155097332973,199
mean,B,lme,Crater,2.173990297503664,1.8289266343938642,0.4578398998479134,0.19993979575108745,244
mean,B,lme,Hideaway,0.8651618878416034,0.7383184288605245,0.7872733274632142,0.5654193393347324,206
mean,B,lme,Pint,1.2772469432619138,1.0764182326036085,0.5278055543703071,0.13981148159043844,122
mean,B,lme,Sam,0.5982364177584616,0.4984207157747553,0.39304458435517836,0.2815284937281586,244
range,A,lme,Anvil,1.3921124153928697,1.157171971718867,0.22977483483137243,0.22620129599488847,236
range,A,lme,Butte,0.7644126915794227,0.6287757653807378,0.7132598083373312,0.6091985875859316,244
range,A,lme,Crater,0.650208955430701,0.5108720398563676,0.22391167043034524,-1.6833059769504133,236
range,A,lme,Pint,0.47757620106140236,0.3932500157309551,0.333891662593413,-1.1052109913345376,122
range,A,lme,Sam,0.5160462188972296,0.42294770139740284,0.39659018983123023,0.2431315875082778,244
range,B,lme,Anvil,1.3314760490291089,1.0735073476563057,0.3156484817164897,0.301463505081248,244
range,B,lme,Butte,0.7670756654293233,0.6298921281286133,0.6810260563720105,0.60647098591541,244
range,B,lme,Cooper,1.4069819512438273,1.14766857212587,0.19340835672168072,0.1889478205064743,199
range,B,lme,Crater,0.6991086612308515,0.5450662540120474,0.09728045535563536,-2.1543015908898444,244
range,B,lme,Hideaway,1.7558071316782482,1.467526360212479,0.6613539636420814,0.37952164957814916,206
range,B,lme,Pint,0.6612230666330888,0.5297290617127238,0.05354951995201402,-3.035582838858132,122
range,B,lme,Sam,0.5104632193748893,0.4175821588806656,0.47934587473144785,0.2594198109191166,244
