response,set,alg,Site,RMSE,MAE,R2,NSE,n_oof
max,A,xgb,Anvil,1.1030460960822501,0.8362564810736705,0.8324172475592607,0.8288286264779288,236
max,A,xgb,Butte,0.8440071757141593,0.6552793550022312,0.77341484419578,0.7731996823136029,244
max,A,xgb,Crater,1.0465663975875317,0.7836425472518144,0.8002246606030299,0.7992691566002795,236
max,A,xgb,Pint,0.7582614614534531,0.586614092279653,0.6813104537312336,0.6624356311885162,122
max,A,xgb,Sam,0.43865458636071414,0.3364409394498732,0.7462251328061231,0.7404674883144556,244
max,A,rfr,Anvil,1.1491048452059947,0.862901729560128,0.826572186440834,0.8142353286846332,236
max,A,rfr,Butte,0.862952875313769,0.6625293297879158,0.7831918954393288,0.7629032828177685,244
max,A,rfr,Crater,1.0294106114395427,0.7865569467312369,0.8161333932807714,0.8057961579066399,236
max,A,rfr,Pint,0.6621295709884754,0.5102412636455865,0.7473091781399794,0.7426023367085162,122
max,A,rfr,Sam,0.4251020721521796,0.3297053757350852,0.7747042217276685,0.7562566001287254,244
max,B,xgb,Anvil,2.2119049961586277,1.8114271820568648,0.36542406732876104,0.34409473281637837,244
max,B,xgb,Butte,0.7829662951696005,0.6035476277148137,0.8055974409080287,0.8048190107668641,244
max,B,xgb,Cooper,1.3722908543825476,1.053497618614312,0.2818509117779965,0.26903980433631147,199
max,B,xgb,Crater,1.8869342364045587,1.5171377414015472,0.41555750705232536,0.4007465187387581,244
max,B,xgb,Hideaway,1.0964319048813906,0.8355226209205701,0.7945989130341172,0.7924869989850671,206
max,B,xgb,Pint,1.1437413495637165,0.9563743594435394,0.3164743371595202,0.23197691063895642,122
max,B,xgb,Sam,0.5346858675050293,0.409669954925287,0.6207349541517675,0.6143939570532755,244
max,B,rfr,Anvil,2.0733740999802217,1.7143705950629056,0.42549192976073374,0.42368023030795865,244
max,B,rfr,Butte,0.8238313129598763,0.6236130152082051,0.7878710376586102,0.7839133331245247,244
max,B,rfr,Cooper,1.341707455404197,1.0549631347698487,0.30143421945214405,0.3012576660727996,199
max,B,rfr,Crater,1.76540369216028,1.4277345538534556,0.4776343058107657,0.4754521660322437,244
max,B,rfr,Hideaway,1.1244976459135998,0.8631247618467912,0.7975653217962141,0.7817274695407679,206
max,B,rfr,Pint,1.0993700917854743,0.9010300630465067,0.3165462644588548,0.2904116649048256,122
max,B,rfr,Sam,0.5280435646554762,0.40725292646946765,0.6324545404736931,0.623915071865164,244
mean,A,xgb,Anvil,0.746917671334905,0.5887963428825765,0.8646541297690192,0.8629336087844718,236
mean,A,xgb,Butte,0.6501446221813385,0.4926003114443919,0.8134137220978741,0.8093449626367719,244
mean,A,xgb,Crater,1.0484981607946675,0.7922227355470819,0.8080092607769888,0.7982873698610622,236
mean,A,xgb,Pint,0.7044220440832829,0.5659867114633028,0.7541627222205582,0.738356606103046,122
mean,A,xgb,Sam,0.29423788598124395,0.2125957066489048,0.8293041381423727,0.8261954914855751,244
mean,A,rfr,Anvil,0.8463013550824792,0.6735596180749925,0.8350834079823758,0.8240312366600872,236
mean,A,rfr,Butte,0.7016306026464649,0.5480651808104511,0.8040127320250475,0.7779527588205266,244
mean,A,rfr,Crater,1.123769174299704,0.8823574381027081,0.7883495933482055,0.7682861591214408,236
mean,A,rfr,Pint,0.7795173514560696,0.6337473450304477,0.7101210386120754,0.6795978137573349,122
mean,A,rfr,Sam,0.3070127279960151,0.23058634110522033,0.8376343476275565,0.8107758269483507,244
mean,B,xgb,Anvil,1.4873173814376186,1.2281112087753796,0.49410282038885395,0.48477777939505906,244
mean,B,xgb,Butte,0.6504139325828442,0.5044511925193911,0.8097578217485732,0.8091869792670789,244
mean,B,xgb,Cooper,0.6043258763540695,0.4737666484652572,0.4785384030990179,0.4768838657996307,199
mean,B,xgb,Crater,1.615268894267723,1.3147422765855632,0.5596339028656104,0.5583307890677611,244
mean,B,xgb,Hideaway,0.6099643891958322,0.47865803211901026,0.7898478297752899,0.783984657366043,206
mean,B,xgb,Pint,1.0776270148526315,0.8371253848941991,0.4412655396426698,0.38767662640768064,122
mean,B,xgb,Sam,0.39142655825692463,0.2978283230529536,0.6933290968418109,0.6924155095020121,244
mean,B,rfr,Anvil,1.4335028962612995,1.1902657082422872,0.5257859808931048,0.5213870691510298,244
mean,B,rfr,Butte,0.6593981862219224,0.5287374610998737,0.8138518235745428,0.8038791206787033,244
mean,B,rfr,Cooper,0.597932069692701,0.4683840842657646,0.4929008071818317,0.48789451407721984,199
mean,B,rfr,Crater,1.6238730323802235,1.3518287974496712,0.5539767388149873,0.5536129315991278,244
mean,B,rfr,Hideaway,0.595577366512419,0.4715063852564191,0.8033063329743587,0.794054642335122,206
mean,B,rfr,Pint,1.0363200115468658,0.8192538973793322,0.4562892650125668,0.4337194222095534,122
mean,B,rfr,Sam,0.37657643303523985,0.2807433725386631,0.7236982428920422,0.7153113653467613,244
range,A,xgb,Anvil,0.9659549092373931,0.6674191843735969,0.6315873023617886,0.627442686989957,236
range,A,xgb,Butte,0.5536273531316824,0.43133457998174135,0.7985552773123303,0.7950087021950956,244
range,A,xgb,Crater,0.25447836088768433,0.2002688131549601,0.5961627626903134,0.5889770972854587,236
range,A,xgb,Pint,0.2876373161274747,0.17603653053670634,0.24237353229287012,0.236338789982812,122
range,A,xgb,Sam,0.3659919367222627,0.2838252921026261,0.621453961872201,0.6192970739069964,244
range,A,rfr,Anvil,0.9626845132527192,0.664470381355932,0.6320515929260944,0.6299611220997372,236
range,A,rfr,Butte,0.5702827522173602,0.44674979508196766,0.787887401961444,0.7824892027267951,244
range,A,rfr,Crater,0.2516336308379938,0.19540342372881336,0.6012962878942808,0.5981151149300679,236
range,A,rfr,Pint,0.25791897434023986,0.16238013114754118,0.3860249389975086,0.38598799585333887,122
range,A,rfr,Sam,0.3560360849915332,0.28218872131147504,0.6507328185746712,0.6397274166689544,244
