response,set,alg,RMSE,MAE,R2,NSE
max,A,xgb,0.889274160544338,0.6520358792021181,0.8876268483723488,0.8873005726990851
max,A,rfr,0.888606414364202,0.645557718422674,0.888869085170959,0.88746975867455
max,B,xgb,1.4382839436922408,1.0502422775939617,0.6990224990588276,0.6979150867877799
max,B,rfr,1.3638938370951073,1.0222053848100903,0.7318826219151949,0.7283555066186251
mean,A,xgb,0.7676286502797165,0.5641642408000219,0.9053712675738949,0.9039917901688932
mean,A,rfr,0.8285664080118458,0.612926146186568,0.891261222954742,0.8881436445671342
mean,B,xgb,1.034333011051714,0.7393379020930917,0.866736574452338,0.8667163156251774
mean,B,rfr,1.0190328576271903,0.7372402570915694,0.8709045718092515,0.8706302932900124
range,A,xgb,0.5924822555376973,0.38227307149112333,0.8430818522275629,0.8427306046020303
range,A,rfr,0.5750500830759606,0.3712270111752855,0.8525284063443113,0.8518489062151705
range,B,xgb,0.9387750105773652,0.6459594224174343,0.8529633367699226,0.8528638041680997
range,B,rfr,0.8992392733630498,0.6321706487825188,0.8665214401300158,0.8649958825022104
