response,set,alg,param,value
max,A,xgb,nrounds,500
max,A,xgb,max_depth,9
max,A,xgb,eta,0.1
max,A,xgb,gamma,0
max,A,xgb,colsample_bytree,0.8
max,A,xgb,min_child_weight,3
max,A,xgb,subsample,0.8
max,A,rfr,mtry,4
max,A,rfr,splitrule,variance
max,A,rfr,min.node.size,1
max,B,xgb,nrounds,200
max,B,xgb,max_depth,3
max,B,xgb,eta,0.1
max,B,xgb,gamma,0.1
max,B,xgb,colsample_bytree,0.8
max,B,xgb,min_child_weight,1
max,B,xgb,subsample,0.8
max,B,rfr,mtry,3
max,B,rfr,splitrule,variance
max,B,rfr,min.node.size,10
mean,A,xgb,nrounds,500
mean,A,xgb,max_depth,9
mean,A,xgb,eta,0.1
mean,A,xgb,gamma,0
mean,A,xgb,colsample_bytree,0.8
mean,A,xgb,min_child_weight,3
mean,A,xgb,subsample,0.8
mean,A,rfr,mtry,4
mean,A,rfr,splitrule,variance
mean,A,rfr,min.node.size,1
mean,B,xgb,nrounds,200
mean,B,xgb,max_depth,9
mean,B,xgb,eta,0.1
mean,B,xgb,gamma,0
mean,B,xgb,colsample_bytree,0.8
mean,B,xgb,min_child_weight,1
mean,B,xgb,subsample,0.8
mean,B,rfr,mtry,3
mean,B,rfr,splitrule,variance
mean,B,rfr,min.node.size,10
range,A,xgb,nrounds,200
range,A,xgb,max_depth,9
range,A,xgb,eta,0.1
range,A,xgb,gamma,0.1
range,A,xgb,colsample_bytree,0.8
range,A,xgb,min_child_weight,3
range,A,xgb,subsample,0.8
range,A,rfr,mtry,7
range,A,rfr,splitrule,variance
range,A,rfr,min.node.size,10
range,B,xgb,nrounds,200
range,B,xgb,max_depth,3
range,B,xgb,eta,0.1
range,B,xgb,gamma,0
range,B,xgb,colsample_bytree,1
range,B,xgb,min_child_weight,1
range,B,xgb,subsample,0.8
range,B,rfr,mtry,3
range,B,rfr,splitrule,variance
range,B,rfr,min.node.size,10
