response,set,alg,Site,RMSE,MAE,R2,NSE,n_oof
max,A,xgb,Anvil,1.1168527839134732,0.8469774130805063,0.8277267358019448,0.8245167480314204,236
max,A,xgb,Butte,0.872223349986162,0.6671376965632204,0.7581977912295381,0.7577817856038714,244
max,A,xgb,Crater,1.0054948396572347,0.7571467702509993,0.8152671879352676,0.8147150143121842,236
max,A,xgb,Pint,0.6796658237462642,0.5360518680009685,0.732487625383035,0.7287876282130286,122
max,A,xgb,Sam,0.42861012302355656,0.3283073464065302,0.7589398092530164,0.7522171356949866,244
max,A,rfr,Anvil,1.1431896602781264,0.861317486016946,0.8304413353639258,0.8161429077683349,236
max,A,rfr,Butte,0.8653864088703864,0.6631805191299736,0.7800499482510149,0.7615641682916248,244
max,A,rfr,Crater,1.0365991664028111,0.7915019289861939,0.8119997456569058,0.8030743685817674,236
max,A,rfr,Pint,0.66477242303455375,0.5156023907103797,0.74582886449523,0.740543460053187,122
max,A,rfr,Sam,0.42498376255309306,0.32887698298047874,0.7763056842508194,0.756392253060048,244
max,B,xgb,Anvil,2.146778108725022,1.748244770863017,0.38537418659493444,0.3821507905348541,244
max,B,xgb,Butte,0.7923914603818677,0.6275474553655406,0.8013008482007292,0.800091641281715,244
max,B,xgb,Cooper,1.3094762064059389,1.0115352481888815,0.3348628343218822,0.3344255939287135,199
max,B,xgb,Crater,1.7857849689970253,1.4519347551377093,0.4663184450757593,0.4632706267429463,244
max,B,xgb,Hideaway,1.0905868449918021,0.8365185110186234,0.799360882690876,0.7946935981722375,206
max,B,xgb,Pint,1.1452902479591585,0.9463418477167848,0.3087188561503343,0.22989532947509694,122
max,B,xgb,Sam,0.5892012122303528,0.4512949154337899,0.5585075894321095,0.5317544225875592,244
max,B,rfr,Anvil,2.0865308750508427,1.7307282510535493,0.4191217241308484,0.4163428498375914,244
max,B,rfr,Butte,0.8247931827504558,0.6216910629153446,0.7881908826711986,0.7834084516749787,244
max,B,rfr,Cooper,1.345814069080308,1.0545910515756152,0.29718593216263084,0.2969737871219703,199
max,B,rfr,Crater,1.7639333454542903,1.4302589337675253,0.47837081540255805,0.47632555946819377,244
max,B,rfr,Hideaway,1.132887221269513,0.8677295336735851,0.793038921727574,0.7784583743198494,206
max,B,rfr,Pint,1.1136614767661177,0.9120850160371837,0.3012687273826108,0.2718430051139171,122
max,B,rfr,Sam,0.5274625761368594,0.40481540235849306,0.6329975976986066,0.6247422036975937,244
mean,A,xgb,Anvil,0.7598411220154878,0.5927992138796014,0.8584020542264145,0.8581494263314345,236
mean,A,xgb,Butte,0.6434274092653525,0.4935441851193787,0.8154715845410366,0.813264258659235,244
mean,A,xgb,Crater,1.070401001819511,0.8166101325326693,0.7988609397638005,0.7897719025419978,236
mean,A,xgb,Pint,0.746621842630962,0.5832950020236656,0.7209658927452139,0.706069076081384,122
mean,A,xgb,Sam,0.29708230275129166,0.21730337338894704,0.8273680436095839,0.8228188901181561,244
mean,A,rfr,Anvil,0.8339632698058265,0.6580613358066337,0.8404250703176119,0.8291246739226921,236
mean,A,rfr,Butte,0.6871211872944467,0.5394886306473644,0.8120103665723504,0.7870414820866527,244
mean,A,rfr,Crater,1.1397966742279766,0.888698965061586,0.781303389821419,0.7616294947141953,236
mean,A,rfr,Pint,0.7755296554691313,0.6333638594379069,0.7160279115233333,0.6828675254499343,122
mean,A,rfr,Sam,0.3050608356830226,0.2301394599031723,0.8381755870959459,0.8131742364195573,244
mean,B,xgb,Anvil,1.5041925296119132,1.2145542643653995,0.48079414372174445,0.47301999967857666,244
mean,B,xgb,Butte,0.6544137168880335,0.49710081565231573,0.807064336377877,0.8068329163928276,244
mean,B,xgb,Cooper,0.6352070423829836,0.4898353231808456,0.43087061325245374,0.4220552238171774,199
mean,B,xgb,Crater,1.6358672821745208,1.3251396175089352,0.5483480428166038,0.5469943708623104,244
mean,B,xgb,Hideaway,0.6151965597364928,0.47975065171843595,0.7843960067673524,0.7802628775753422,206
mean,B,xgb,Pint,1.0722905072471232,0.8493329584215509,0.4374172747497554,0.39372617304846813,122
mean,B,xgb,Sam,0.3966672674395292,0.30121361332327423,0.6866988754992199,0.6841240336500478,244
mean,B,rfr,Anvil,1.4438454617201062,1.1995234985899799,0.5206469153593933,0.5144558760007611,244
mean,B,rfr,Butte,0.6644210201796816,0.5387106069878902,0.813468841478406,0.800879917865747,244
mean,B,rfr,Cooper,0.600072046702372,0.47381305447472727,0.49153818961824897,0.48422234091822325,199
mean,B,rfr,Crater,1.6239069395893906,1.3591352119122568,0.5548433298529226,0.5535942898735539,244
mean,B,rfr,Hideaway,0.5942230432868463,0.47294820497573886,0.8073804064764311,0.7949902032654421,206
mean,B,rfr,Pint,1.0266242110707862,0.808054016563232,0.46774561904163325,0.4442660848189317,122
mean,B,rfr,Sam,0.37788478670652587,0.28014454384741316,0.722544385161458,0.7133297199924598,244
range,A,xgb,Anvil,0.9439334089567326,0.6603403080964493,0.6470148622062306,0.6442359179232193,236
range,A,xgb,Butte,0.5951042991339063,0.4667387811727211,0.7647245939885841,0.7631428376557583,244
range,A,xgb,Crater,0.2382339871712689,0.1821387592996076,0.6511540639624172,0.6397767476396121,236
range,A,xgb,Pint,0.2549365652147937,0.15641703990492664,0.40678571287954796,0.40010597532413406,122
range,A,xgb,Sam,0.3527136650901873,0.2794995286503776,0.6464841611251749,0.6464199511630813,244
range,A,rfr,Anvil,0.9678018420670915,0.6664953707122679,0.6278796295585131,0.6260166449504503,236
range,A,rfr,Butte,0.5706973111437766,0.4498867779794435,0.7892092847774927,0.7821728550325029,244
range,A,rfr,Crater,0.2537599121849356,0.19871346826069414,0.5939028120865558,0.5912946383385385,236
range,A,rfr,Pint,0.2597035976269143,0.16414348929221967,0.37768235915191045,0.3774615107506165,122
range,A,rfr,Sam,0.3583934428483094,0.28313526145264123,0.6479612474156512,0.6349408061470179,244
range,B,xgb,Anvil,1.339313657217402,1.0691335684490986,0.30064825334092055,0.2932155625572437,244
range,B,xgb,Butte,0.6877647535394498,0.5433352758982143,0.6844324229774277,0.6836410121902199,244
range,B,xgb,Cooper,1.3499181742007957,1.0579145508328156,0.29305370363685457,0.25340232741662305,199
range,B,xgb,Crater,0.35392562860548776,0.2750505238437079,0.3708890610000452,0.19157846492560338,244
range,B,xgb,Hideaway,1.168346822875501,0.9285291268897196,0.7253543696389215,0.7252633621163658,206
range,B,xgb,Pint,0.36238453196893533,0.2496686142090647,0.112102834024603,-0.2121310592595862,122
range,B,xgb,Sam,0.4693353646071913,0.3763162517899372,0.4045707979942422,0.373948962811267,244
range,B,rfr,Anvil,1.3102433629242336,1.0330728517641643,0.32646816003011425,0.3235646112223499,244
range,B,rfr,Butte,0.688679082352808,0.5376809757993514,0.6830405884472597,0.6827993045917939,244
range,B,rfr,Cooper,1.2996035954688343,0.9944446578589582,0.32302842274683913,0.3080199857133603,199
range,B,rfr,Crater,0.3010657646362525,0.24046480278108465,0.42359903985249747,0.41502595680062315,244
range,B,rfr,Hideaway,1.19685220841801,0.9578900457587388,0.7156940019600981,0.7116937439528042,206
range,B,rfr,Pint,0.3189959471176535,0.22307902546109432,0.12984041109714925,0.06075129201891749,122
range,B,rfr,Sam,0.42909173801486067,0.34427744280850575,0.4785421610726829,0.4767087356022254,244
