response,set,alg,Variable,Importance,Stderr,type
max,A,xgb,Size_km2,100,NA,internal
max,A,xgb,Solar_2d,46.256405740669386,NA,internal
max,A,xgb,Elev_m,44.38252726658967,NA,internal
max,A,xgb,Water_area_m2_3d,22.045716003117153,NA,internal
max,A,xgb,WL_max_7day,18.402805539132423,NA,internal
max,A,xgb,GWL_max_7day,10.123582615017543,NA,internal
max,A,xgb,Air_tmin,7.816160102361387,NA,internal
max,A,xgb,Air_tmax,7.601301025919945,NA,internal
max,A,xgb,WL_daily_range,5.981995691534498,NA,internal
max,A,xgb,GWT_max_7day,2.900805233444057,NA,internal
max,A,xgb,GWT_range,2.7694851156892617,NA,internal
max,A,xgb,GWL_range,1.5424032804824084,NA,internal
max,A,xgb,Air_trange,0.49137580533064834,NA,internal
max,A,xgb,ppt,0,NA,internal
max,A,rfr,Size_km2,100,NA,internal
max,A,rfr,Elev_m,69.28674606920941,NA,internal
max,A,rfr,Solar_2d,36.55623539945718,NA,internal
max,A,rfr,WL_max_7day,26.92281758227466,NA,internal
max,A,rfr,GWL_max_7day,17.16787003826853,NA,internal
max,A,rfr,Water_area_m2_3d,15.28667494047005,NA,internal
max,A,rfr,GWT_max_7day,13.301503269027245,NA,internal
max,A,rfr,WL_daily_range,7.02124981154279,NA,internal
max,A,rfr,Air_tmin,6.670323085465937,NA,internal
max,A,rfr,Air_tmax,5.208882899144932,NA,internal
max,A,rfr,GWL_range,3.9856665293199,NA,internal
max,A,rfr,GWT_range,1.892411149020552,NA,internal
max,A,rfr,Air_trange,0.028688191109867,NA,internal
max,A,rfr,ppt,0,NA,internal
max,B,xgb,Elev_m,100,NA,internal
max,B,xgb,Solar_2d,88.88492594035819,NA,internal
max,B,xgb,Size_km2,46.49226351343343,NA,internal
max,B,xgb,Air_tmax,16.586500910498955,NA,internal
max,B,xgb,Air_tmin,14.974717391995565,NA,internal
max,B,xgb,Air_trange,6.480790112876873,NA,internal
max,B,xgb,ppt,0,NA,internal
max,B,rfr,Elev_m,100,NA,internal
max,B,rfr,Solar_2d,91.25472294379965,NA,internal
max,B,rfr,Size_km2,74.68607903328743,NA,internal
max,B,rfr,Air_tmax,13.66672059708175,NA,internal
max,B,rfr,Air_tmin,11.351319835948836,NA,internal
max,B,rfr,Air_trange,3.0859508194518375,NA,internal
max,B,rfr,ppt,0,NA,internal
mean,A,xgb,Size_km2,100,NA,internal
mean,A,xgb,Elev_m,38.893295516486184,NA,internal
mean,A,xgb,Solar_3d,28.289626972882658,NA,internal
mean,A,xgb,WL_max_7day,18.88490629861394,NA,internal
mean,A,xgb,Water_area_m2_3d,15.208099950655942,NA,internal
mean,A,xgb,Air_tmax_2day,9.40383474053192,NA,internal
mean,A,xgb,Air_tmin,8.569214657549784,NA,internal
mean,A,xgb,GWL_max_7day,7.706504632140682,NA,internal
mean,A,xgb,GWT_max_7day,4.722258222003991,NA,internal
mean,A,xgb,WL_daily_range,4.133803577724383,NA,internal
mean,A,xgb,GWT_range,2.6551019904165947,NA,internal
mean,A,xgb,GWL_range,0.7390827915581799,NA,internal
mean,A,xgb,Air_trange,0.6314954555426037,NA,internal
mean,A,xgb,ppt,0,NA,internal
mean,A,rfr,Size_km2,100,NA,internal
mean,A,rfr,Elev_m,64.82971876152426,NA,internal
mean,A,rfr,WL_max_7day,26.806784391771664,NA,internal
mean,A,rfr,Solar_3d,26.271497646590586,NA,internal
mean,A,rfr,GWL_max_7day,12.506717575221678,NA,internal
mean,A,rfr,GWT_max_7day,11.930410849667638,NA,internal
mean,A,rfr,Water_area_m2_3d,11.202456000736554,NA,internal
mean,A,rfr,Air_tmin,9.359991842765353,NA,internal
mean,A,rfr,Air_tmax_2day,7.159156065795457,NA,internal
mean,A,rfr,GWT_range,4.578657874512082,NA,internal
mean,A,rfr,WL_daily_range,4.555340554090631,NA,internal
