response,set,alg,Variable,Importance,Stderr,type
max,A,xgb,GWL_mean_7day,100,NA,internal
max,A,xgb,WL_max_7day,25.444578383580733,NA,internal
max,A,xgb,Size_km2,17.100308468438545,NA,internal
max,A,xgb,Solar_2d,14.733754264444467,NA,internal
max,A,xgb,Air_tmean,9.606886688432784,NA,internal
max,A,xgb,Elev_m,7.328128531986594,NA,internal
max,A,xgb,Water_area_m2_3d,7.324540293420677,NA,internal
max,A,xgb,WL_daily_range,5.964996515361536,NA,internal
max,A,xgb,GWT_max,3.8259362422429755,NA,internal
max,A,xgb,Air_tmin,3.5414631327995814,NA,internal
max,A,xgb,GWL_range,2.0357469231243113,NA,internal
max,A,xgb,Air_trange,0.9877468339037102,NA,internal
max,A,xgb,GWT_range,0.808453166697635,NA,internal
max,A,xgb,ppt,0,NA,internal
max,A,rfr,GWL_mean_7day,100,NA,internal
max,A,rfr,Size_km2,57.37826025952527,NA,internal
max,A,rfr,Elev_m,52.03337756579069,NA,internal
max,A,rfr,WL_max_7day,47.97219812890873,NA,internal
max,A,rfr,Solar_2d,29.423065067170697,NA,internal
max,A,rfr,Water_area_m2_3d,28.8307268932165,NA,internal
max,A,rfr,GWT_max,20.15283670311673,NA,internal
max,A,rfr,WL_daily_range,9.715533505185412,NA,internal
max,A,rfr,Air_tmean,9.574424574645427,NA,internal
max,A,rfr,Air_tmin,6.55035328802796,NA,internal
max,A,rfr,GWL_range,5.947649603506625,NA,internal
max,A,rfr,Air_trange,0.809496730806419,NA,internal
max,A,rfr,GWT_range,0.1878874623335184,NA,internal
max,A,rfr,ppt,0,NA,internal
max,B,xgb,Elev_m,100,NA,internal
max,B,xgb,Solar_2d,89.11641194427804,NA,internal
max,B,xgb,Size_km2,43.87424909649434,NA,internal
max,B,xgb,Air_tmean,20.95377878289248,NA,internal
max,B,xgb,Air_tmin,10.749562821713171,NA,internal
max,B,xgb,Air_trange,6.491889015638616,NA,internal
max,B,xgb,ppt,0,NA,internal
max,B,rfr,Elev_m,100,NA,internal
max,B,rfr,Solar_2d,92.45798904341198,NA,internal
max,B,rfr,Size_km2,75.31129226384999,NA,internal
max,B,rfr,Air_tmean,17.37907124187262,NA,internal
max,B,rfr,Air_tmin,10.569793908857141,NA,internal
max,B,rfr,Air_trange,2.0832563961557296,NA,internal
max,B,rfr,ppt,0,NA,internal
mean,A,xgb,GWL_mean_7day,100,NA,internal
mean,A,xgb,Size_km2,22.23891206639641,NA,internal
mean,A,xgb,WL_max_7day,17.233563548954677,NA,internal
mean,A,xgb,Elev_m,14.444190868908818,NA,internal
mean,A,xgb,Air_tmax_2day,9.326349374875011,NA,internal
mean,A,xgb,Solar_3d,8.444731742155218,NA,internal
mean,A,xgb,GWT_max,8.40818348488347,NA,internal
mean,A,xgb,Air_tmin,8.044830924855336,NA,internal
mean,A,xgb,Water_area_m2_3d,6.843617813214718,NA,internal
mean,A,xgb,WL_daily_range,2.748362835367784,NA,internal
mean,A,xgb,GWL_range,0.9382471135415019,NA,internal
mean,A,xgb,Air_trange,0.7094119168739275,NA,internal
mean,A,xgb,GWT_range,0.49497155884537203,NA,internal
mean,A,xgb,ppt,0,NA,internal
mean,A,rfr,GWL_mean_7day,100,NA,internal
mean,A,rfr,WL_max_7day,66.35794037194044,NA,internal
mean,A,rfr,Size_km2,66.13819659381885,NA,internal
